level	item_id	field	problem	value	line_no
ERROR	P2004-0014	__row__	too_few_fields_expected_8_got_6	P2004-0014|http://www.showtrials.ru/|http://www.showtrials.ru/|WWW.SHOWTRIALS.RU|no|yes	28
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/external/showtrials/	29
ERROR	P2004-0015	__row__	too_few_fields_expected_8_got_6	P2004-0015|http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc|http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc|Справка председателя КГБ при СМ СССР И.А. Серова о процессе по делу «антисоветского право-троцкистского блока»|no|yes	30
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc	31
ERROR	P2004-0016	__row__	too_few_fields_expected_8_got_6	P2004-0016|documents/kirov/TheUnknownKirov.doc|http://perpetrator2004.narod.ru/documents/kirov/TheUnknownKirov.doc|Алла Кирилина. «Неизвестный Киров», Олма-Пресс, 2002|no|no	32
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/TheUnknownKirov.doc	33
ERROR	P2004-0017	__row__	too_few_fields_expected_8_got_6	P2004-0017|documents/kirov/Roslakov1.doc|http://perpetrator2004.narod.ru/documents/kirov/Roslakov1.doc|Михаил Росляков. «Убийство Кирова. Политические и уголовные преступления в 30-х годах»|no|no	34
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Roslakov1.doc	35
ERROR	P2004-0018	__row__	too_few_fields_expected_8_got_6	P2004-0018|documents/Bukharin/Plea_For_Pardon.doc|http://perpetrator2004.narod.ru/documents/Bukharin/Plea_For_Pardon.doc|Прошения Н.И. Бухарина о помиловании|no|no	36
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/Plea_For_Pardon.doc	37
ERROR	P2004-0019	__row__	too_few_fields_expected_8_got_6	P2004-0019|documents/Khrushchev/Speech3WritCongr.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Speech3WritCongr.doc|Речь Н.С. Хрущева на III съезде писателей СССР, 22 мая 1959 г.|no|no	38
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Speech3WritCongr.doc	39
ERROR	P2004-0020	__row__	too_few_fields_expected_8_got_6	P2004-0020|documents/DoctorsPlot/StalinDocsDP.doc|http://perpetrator2004.narod.ru/documents/DoctorsPlot/StalinDocsDP.doc|Документы о личном участии И.В. Сталина в создании и расследовании «дела врачей»|no|no	40
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/DoctorsPlot/StalinDocsDP.doc	41
ERROR	P2004-0021	__row__	too_few_fields_expected_8_got_6	P2004-0021|documents/Yezhov/YezhovQuiz26Apr1939.doc|http://perpetrator2004.narod.ru/documents/Yezhov/YezhovQuiz26Apr1939.doc|Сообщение Л.П. Берии И.В. Сталину о Н.И. Ежове с приложением протокола допроса|no|no	42
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Yezhov/YezhovQuiz26Apr1939.doc	43
ERROR	P2004-0022	__row__	too_few_fields_expected_8_got_6	P2004-0022|documents/Khrushchev/Khrushchev19May1957.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Khrushchev19May1957.doc|Стенограмма встречи руководителей КПСС и советского правительства с писателями, художниками, скульпторами и композиторами 19 мая 1957 г.|no|no	44
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Khrushchev19May1957.doc	45
ERROR	P2004-0023	__row__	too_few_fields_expected_8_got_6	P2004-0023|/documents/Khrushchev/Maniege1962.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Maniege1962.doc|Стенограмма присутствия Н.С. Хрущева на выставке художников-авангардистов 1 декабря 1962 г.|no|no	46
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Maniege1962.doc	47
ERROR	P2004-0024	__row__	too_few_fields_expected_8_got_6	P2004-0024|/documents/Khrushchev/Khrushchev13May1957.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Khrushchev13May1957.doc|Выступление Н.С. Хрущева на совещании писателей в ЦК КПСС 13 мая 1957 г.|no|no	48
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Khrushchev13May1957.doc	49
ERROR	P2004-0025	__row__	too_few_fields_expected_8_got_6	P2004-0025|/documents/Khrushchev/Speech16March1948.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Speech16March1948.doc|Из выступления Н.С. Хрущева на совещании писателей, композиторов и художников, созванном ЦК КП(б)У|no|no	50
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Speech16March1948.doc	51
ERROR	P2004-0026	__row__	too_few_fields_expected_8_got_6	P2004-0026|documents/Bukharin/Bukharin_Letter_April15_1937.doc|http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Letter_April15_1937.doc|Письмо Н.И. Бухарина И.В. Сталину от 15 апреля 1937 г. из внутренней тюрьмы НКВД|no|no	52
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Letter_April15_1937.doc	53
ERROR	P2004-0027	__row__	too_few_fields_expected_8_got_6	P2004-0027|/documents/Khrushchev/Meeting_with_Intelligentsia.doc|http://perpetrator2004.narod.ru/documents/Khrushchev/Meeting_with_Intelligentsia.doc|Стенограмма встречи руководителей КПСС и советского правительства с деятелями литературы и искусства.|no|no	54
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Khrushchev/Meeting_with_Intelligentsia.doc	55
ERROR	P2004-0028	__row__	too_few_fields_expected_8_got_6	P2004-0028|documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc|Справка Прокуратуры СССР и КГБ СССР о так называемом «Кремлевском деле»|no|no	56
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_Memorandum.doc	57
ERROR	P2004-0029	__row__	too_few_fields_expected_8_got_6	P2004-0029|documents/Yezhov/Yezhov1.doc|http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov1.doc|Заявление об отставке в Политбюро ЦК ВКП(б) от 23 ноября 1938 года. Выписка из решений Политбюро ЦК ВКП(б), Протокол № 65а от 24 ноября 1938 г. Рапорт об обыске в квартире Ежова от 10 апреля 1939 г. Рапорт об установлении факта интимной связи М. Шолохова с женой Ежова от 12 декабря 1938 г. Постановление о привлечении Ежова к уголовной ответственности от 10 июня 1939 г. Записка Ежова из тюрьмы (без даты, между 12 и 16 июня 1938 г.). Из показаний подследственного С. Б. Жуковского от 31 мая 1938 г. Рапорт Кедрова от 28 января 1939 года. Последнее слово Н. И. Ежова на судебном процессе 3 февраля 1940 года.|no|no	58
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Yezhov/Yezhov1.doc	59
ERROR	P2004-0030	__row__	too_few_fields_expected_8_got_6	P2004-0030|documents/Yezhov/Yezhov2.doc|http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov2.doc|Спецсообщение Л.П. Берии И.В. Сталину о И.И. Ежове от 30 января 1939 г. Записка Н.И. Ежова И.В. Сталину от 13 марта 1939 г. Спецсообщение Л.П. Берии И.В. Сталину с приложением заявления М.П. Фриновского от 13 апреля 1939 г. Сообщение Л.П. Берии И.В. Сталину о Н.И. Ежове от 27 апреля 1939 г. с приложением протокола допроса от 26 апреля 1939 г.|no|no	60
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Yezhov/Yezhov2.doc	61
ERROR	P2004-0031	__row__	too_few_fields_expected_8_got_6	P2004-0031|documents/Show_Trials/Radek_Sokolnikov_Murder.doc|http://perpetrator2004.narod.ru/documents/Show_Trials/Radek_Sokolnikov_Murder.doc|Из справки председателя КГБ при СМ СССР И.А. Серова в ЦК КПСС от 29 июня 1956 г. по делу «антисоветского троцкистского центра» об обстоятельствах убийства Г.Я. Сокольникова и К.Б. Радека|no|no	62
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Show_Trials/Radek_Sokolnikov_Murder.doc	63
ERROR	P2004-0032	__row__	too_few_fields_expected_8_got_6	P2004-0032|documents/Kremlin_Affair/Kremlin_Affair_1.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_1.doc|Спецсообщение Г.Г. Ягоды И.В. Сталину о «контрреволюционной группе» в кремле с приложением протокола очной ставки между Авдеевой Анной Ефимовной и Мишаковой Ефросинией Семеновной|no|no	64
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_1.doc	65
ERROR	P2004-0033	__row__	too_few_fields_expected_8_got_6	P2004-0033|documents/Kremlin_Affair/Kremlin_Affair_2.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_2.doc|Записка Я.С. Агранова И.В. Сталину о новых арестах среди персонала в Кремле|no|no	66
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_2.doc	67
ERROR	P2004-0034	__row__	too_few_fields_expected_8_got_6	P2004-0034|documents/Kremlin_Affair/Kremlin_Affair_3.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_3.doc|Докладная записка Г.Г. Ягоды И.В. Сталину о ходе следствия по кремлевскому делу с приложением протокола допроса Дорошина Василия Григорьевича|no|no	68
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_3.doc	69
ERROR	P2004-0035	__row__	too_few_fields_expected_8_got_6	P2004-0035|documents/Kremlin_Affair/Kremlin_Affair_4.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_4.doc|Протокол допроса И.П. Лукьянова|no|no	70
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_4.doc	71
ERROR	P2004-0036	__row__	too_few_fields_expected_8_got_6	P2004-0036|documents/Kremlin_Affair/Kremlin_Affair_5.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_5.doc|Протокол допроса Е.К. Мухановой|no|no	72
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_5.doc	73
ERROR	P2004-0037	__row__	too_few_fields_expected_8_got_6	P2004-0037|documents/Kremlin_Affair/Kremlin_Affair_6.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_6.doc|Протокол допроса К.И. Синелобовой|no|no	74
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_6.doc	75
ERROR	P2004-0038	__row__	too_few_fields_expected_8_got_6	P2004-0038|documents/Kremlin_Affair/Kremlin_Affair_7.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_7.doc|Протокол допроса П.И. Гордеевой|no|no	76
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_7.doc	77
ERROR	P2004-0039	__row__	too_few_fields_expected_8_got_6	P2004-0039|documents/Kremlin_Affair/Kremlin_Affair_8.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_8.doc|Протокол допроса К.К. Муханова|no|no	78
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_8.doc	79
ERROR	P2004-0040	__row__	too_few_fields_expected_8_got_6	P2004-0040|documents/Kremlin_Affair/Kremlin_Affair_9.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_9.doc|Протокол допроса Б.Н. Розенфельда|no|no	80
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_9.doc	81
ERROR	P2004-0041	__row__	too_few_fields_expected_8_got_6	P2004-0041|documents/Kremlin_Affair/Kremlin_Affair_10.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_10.doc|Протокол допроса М.В. Королькова|no|no	82
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_10.doc	83
ERROR	P2004-0042	__row__	too_few_fields_expected_8_got_6	P2004-0042|documents/Kremlin_Affair/Kremlin_Affair_11.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_11.doc|Протокол допроса В.А. Ельчаниновой|no|no	84
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_11.doc	85
ERROR	P2004-0043	__row__	too_few_fields_expected_8_got_6	P2004-0043|documents/Kremlin_Affair/Kremlin_Affair_12.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_12.doc|Протокол допроса Р.Г. Миндель|no|no	86
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_12.doc	87
ERROR	P2004-0044	__row__	too_few_fields_expected_8_got_6	P2004-0044|documents/Kremlin_Affair/Kremlin_Affair_13.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_13.doc|Протокол допроса Д.С. Азбеля|no|no	88
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_13.doc	89
ERROR	P2004-0045	__row__	too_few_fields_expected_8_got_6	P2004-0045|documents/Kremlin_Affair/Kremlin_Affair_14.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_14.doc|Протокол допроса И.В. Больших|no|no	90
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_14.doc	91
ERROR	P2004-0046	__row__	too_few_fields_expected_8_got_6	P2004-0046|documents/Kremlin_Affair/Kremlin_Affair_15.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_15.doc|Сопроводительная записка Я.С. Агранова И.В. Сталину с протоколом допроса Л.Б. Каменева|no|no	92
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_15.doc	93
ERROR	P2004-0047	__row__	too_few_fields_expected_8_got_6	P2004-0047|documents/Kremlin_Affair/Kremlin_Affair_16.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_16.doc|Постановление политбюро ЦК ВКП(б) «Об аппарате ЦИК СССР и тов. Енукидзе»|no|no	94
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_16.doc	95
ERROR	P2004-0048	__row__	too_few_fields_expected_8_got_6	P2004-0048|documents/Kremlin_Affair/Kremlin_Affair_17.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_17.doc|Записка Г.Г. Ягоды И.В. Сталину о мерах наказания участникам «контрреволюционных» групп|no|no	96
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_17.doc	97
ERROR	P2004-0049	__row__	too_few_fields_expected_8_got_6	P2004-0049|documents/Kremlin_Affair/Kremlin_Affair_18.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_18.doc|Постановление Политбюро ЦК ВКП(б) о мерах наказания по «Кремлевскому делу»|no|no	98
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_18.doc	99
ERROR	P2004-0050	__row__	too_few_fields_expected_8_got_6	P2004-0050|documents/Kremlin_Affair/Kremlin_Affair_19.doc|http://perpetrator2004.narod.ru/documents/Kremlin_Affair/Kremlin_Affair_19.doc|Записка Я.С. Агранова И.В. Сталину от 5 сентября 1935 г. с приложением копии анонимного письма об А.С. Енукидзе|no|no	100
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Kremlin_Affair/Kremlin_Affair_19.doc	101
ERROR	P2004-0051	__row__	too_few_fields_expected_8_got_6	P2004-0051|documents/Tukhachevsky/Tukhachevsky_Report.rar|http://perpetrator2004.narod.ru/documents/Tukhachevsky/Tukhachevsky_Report.rar|Справка Комиссии президиума ЦК КПСС «О проверке обвинений, предъявленных в 1937 году судебными и партийными органами тт. Тухачевскому, Якиру, Уборевичу и другим военным деятелям, в измене родины, терроре и военном заговоре»|no|no	102
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Tukhachevsky/Tukhachevsky_Report.rar	103
ERROR	P2004-0052	__row__	too_few_fields_expected_8_got_6	P2004-0052|documents/kirov/Zhukov_on_Kirov.doc|http://perpetrator2004.narod.ru/documents/kirov/Zhukov_on_Kirov.doc|Следствие и судебные процессы по делу об убийстве Кирова|no|no	104
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Zhukov_on_Kirov.doc	105
ERROR	P2004-0053	__row__	too_few_fields_expected_8_got_6	P2004-0053|documents/kirov/Kirilina_Interview.doc|http://perpetrator2004.narod.ru/documents/kirov/Kirilina_Interview.doc|Интервью Аллы Кирилиной|no|no	106
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Kirilina_Interview.doc	107
ERROR	P2004-0054	__row__	too_few_fields_expected_8_got_6	P2004-0054|documents/Bukharin/Bukharin_Confrontations.doc|http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Confrontations.doc|Записка Я.С. Агранова И.В. Сталину о членах оппозиционной группы в ВКП(б). Стенограммы очных ставок в ЦК ВКП(б) между Н.И. Бухариным с одной стороны и Куликовым, Сосновским и Пятаковым с другой. Письма: Н.И. Бухарин – Сталину от 15 декабря 1936 г. и Сталину и членам Политбюро от 15 декабря 1936 г|no|no	108
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Confrontations.doc	109
ERROR	P2004-0055	__row__	too_few_fields_expected_8_got_6	P2004-0055|documents/Bukharin/Bukharin_Letters.doc|http://perpetrator2004.narod.ru/documents/Bukharin/Bukharin_Letters.doc|Телеграмма Н.И. Бухарина Сталину из Ташкента от 24 августа 1936 г. Письма: Бухарин – членам Политбюро и Вышинскому от 27 августа 1936 г., Бухарин – Ворошилову от 31 августа 1936 г., Ворошилов – Бухарину от 3 сентября 1936 г., Бухарин – Ворошилову от 3 сентября 1936 г., Каганович – Сталину от 14 сентября 1936 г., Бухарин – Сталину от 10 декабря 1937 г., Бухарин – Лариной от 15 января 1938 г|no|no	110
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/Bukharin_Letters.doc	111
ERROR	P2004-0056	__row__	too_few_fields_expected_8_got_6	P2004-0056|documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc|http://perpetrator2004.narod.ru/documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc|Письмо будущему поколению руководителей партии|no|no	112
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Bukharin/To_Future_Generation_of_Party_Leaders.doc	113
ERROR	P2004-0057	__row__	too_few_fields_expected_8_got_6	P2004-0057|documents/Lenin/Letter_to_the_Congress.doc|http://perpetrator2004.narod.ru/documents/Lenin/Letter_to_the_Congress.doc|Ленин: Письмо к съезду и вокруг него|no|no	114
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Lenin/Letter_to_the_Congress.doc	115
ERROR	P2004-0058	__row__	too_few_fields_expected_8_got_6	P2004-0058|documents/Show_Trials/Orlov_Prison_Shooting.doc|http://perpetrator2004.narod.ru/documents/Show_Trials/Orlov_Prison_Shooting.doc|Документы о расстреле заключенных Орловской тюрьмы|no|no	116
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Show_Trials/Orlov_Prison_Shooting.doc	117
ERROR	P2004-0059	__row__	too_few_fields_expected_8_got_6	P2004-0059|documents/Lenin/Church_Values_Confiscation.doc|http://perpetrator2004.narod.ru/documents/Lenin/Church_Values_Confiscation.doc|Письмо Ленина Молотову об изъятии церковных ценностей от 19 марта 1922 г|no|no	118
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Lenin/Church_Values_Confiscation.doc	119
ERROR	P2004-0060	__row__	too_few_fields_expected_8_got_6	P2004-0060|documents/kirov/Kozlov_Memo.doc|http://perpetrator2004.narod.ru/documents/kirov/Kozlov_Memo.doc|Записка Ф.Р. Козлова в ЦК КПСС|no|no	120
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Kozlov_Memo.doc	121
ERROR	P2004-0061	__row__	too_few_fields_expected_8_got_6	P2004-0061|documents/kirov/Record_No_2.doc|http://perpetrator2004.narod.ru/documents/kirov/Record_No_2.doc|Протокол № 2|no|no	122
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Record_No_2.doc	123
ERROR	P2004-0062	__row__	too_few_fields_expected_8_got_6	P2004-0062|documents/kirov/Serov_Memo_Volkova.doc|http://perpetrator2004.narod.ru/documents/kirov/Serov_Memo_Volkova.doc|Записка И.А.Серова А. Б. Аристову|no|no	124
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Serov_Memo_Volkova.doc	125
ERROR	P2004-0063	__row__	too_few_fields_expected_8_got_6	P2004-0063|documents/kirov/Molotov_Commission_Memo.doc|http://perpetrator2004.narod.ru/documents/kirov/Molotov_Commission_Memo.doc|Записка комиссии ЦК КПСС под председательством В.М. Молотова|no|no	126
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/kirov/Molotov_Commission_Memo.doc	127
