source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	review_reason	notes
Секретариат ЦИК СССР	Secretariat of the Central Executive Committee of the USSR	organizations	organization	high	20	approved	high		canonical organization/institution label
КПК при ЦК ВКП(б)	Party Control Commission under the Central Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	15	approved	high		canonical organization/institution label
Прокуратура СССР	Prosecutor's Office of the USSR	organizations	organization	high	10	approved	high		canonical organization/institution label
Горьковский крайком ВКП(б)	Gorky Regional Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	9	approved	high		canonical organization/institution label
Лига Наций	League of Nations	organizations	organization	high	5	approved	high		canonical organization/institution label
РАЗНЫЕ ДОКУМЕНТЫ	Miscellaneous Documents	processes	process_name	high	4	approved	high		canonical process label
СТАТЬИ	Articles	processes	process_name	high	2	approved	high		canonical process label
The New York Times	The New York Times	organizations	organization	high	1	approved	high		curated organization label
United Press International	United Press International	organizations	organization	high	1	approved	high		curated organization label
Верховный Совет СССР	Supreme Soviet of the USSR	organizations	organization	high	1	approved	high		canonical organization/institution label
Народная Трудовая Демократическая партия России	People's Labor Democratic Party of Russia	organizations	organization	high	1	approved	high		curated organization label
Л.В. Николаева	L.V. Nikolaeva	people	person_name	high	43	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Г.Е. Прокофьева	G.E. Prokofeva	people	person_name	high	33	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Г.И. Сафарова	G.I. Safarova	people	person_name	high	32	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Е.В. Цетлина	E.V. Tsetlina	people	person_name	high	20	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
член	member	roles	generic_membership	medium	1482	approved	high		role/label translation; review political and accusatory labels
троцкист	Trotskyist	roles	political_label	medium	1357	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
секретарь	secretary	roles	office_position	medium	988	approved	high		role/label translation; review political and accusatory labels
комиссар	commissar	roles	office_position	medium	667	approved	high		role/label translation; review political and accusatory labels
руководитель	leader	roles	office_position	medium	639	approved	high		role/label translation; review political and accusatory labels
правый	Rightist	roles	political_label	medium	607	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
нарком	People's Commissar	roles	office_position	medium	530	approved	high		role/label translation; review political and accusatory labels
начальник	chief	roles	office_position	medium	506	approved	high		role/label translation; review political and accusatory labels
сотрудник	staff member	roles	generic_staff	medium	381	approved	high		role/label translation; review political and accusatory labels
директор	director	roles	office_position	medium	380	approved	high		role/label translation; review political and accusatory labels
председатель	chairman	roles	office_position	medium	361	approved	high		role/label translation; review political and accusatory labels
обвиняемый	accused	roles	trial_role	medium	347	approved	high		role/label translation; review political and accusatory labels
заместитель	deputy	roles	office_position	medium	283	approved	high		role/label translation; review political and accusatory labels
представитель	representative	roles	generic_representative	medium	278	approved	high		role/label translation; review political and accusatory labels
агент	agent	roles	accusatory_or_intelligence_label	medium	222	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
кандидат	candidate	roles	generic_membership	medium	208	approved	high		role/label translation; review political and accusatory labels
редактор	editor	roles	office_position	medium	172	approved	high		role/label translation; review political and accusatory labels
прокурор	prosecutor	roles	office_position	medium	119	approved	high		role/label translation; review political and accusatory labels
следователь	investigator	roles	office_position	medium	119	approved	high		role/label translation; review political and accusatory labels
свидетель	witness	roles	trial_role	medium	95	approved	high		role/label translation; review political and accusatory labels
посол	ambassador	roles	office_position	medium	88	approved	high		role/label translation; review political and accusatory labels
адвокат	defense attorney	roles	office_position	medium	83	approved	high		role/label translation; review political and accusatory labels
подсудимый	defendant	roles	trial_role	medium	74	approved	high		role/label translation; review political and accusatory labels
полпред	plenipotentiary representative	roles	office_position	medium	69	approved	high		role/label translation; review political and accusatory labels
вредитель	wrecker	roles	accusatory_label	medium	58	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
наркомвнудел	People's Commissar of Internal Affairs	roles	office_position	medium	49	approved	high		role/label translation; review political and accusatory labels
корреспондент	correspondent	roles	office_position	medium	44	approved	high		role/label translation; review political and accusatory labels
судья	judge	roles	office_position	medium	31	approved	high		role/label translation; review political and accusatory labels
Рыков	Alexei Rykov	people	person_name	medium	18	approved	high		curated historical English name
Сокольников	Grigory Sokolnikov	people	person_name	medium	18	approved	high		curated historical English name
Л.М. Каганович	Lazar Kaganovich	people	person_name	medium	11	approved	high		curated historical English name
А.Я. Вышинский	Andrey Vyshinsky	people	person_name	medium	10	approved	high		curated historical English name
Смирнов	Ivan Smirnov	people	person_name	medium	10	approved	high		curated historical English name
Киров	Sergei Kirov	people	person_name	medium	9	approved	high		curated historical English name
А.С. Енукидзе	Avel Yenukidze	people	person_name	medium	8	approved	high		curated historical English name
С.В. Мрачковский	Sergei Mrachkovsky	people	person_name	medium	8	approved	high		curated historical English name
Троцкий	Leon Trotsky	people	person_name	medium	6	approved	high		curated historical English name
секретарь_суда	court secretary	roles	office_position	medium	1	approved	high		role/label translation; review political and accusatory labels
В.А. Балицкого	V.A. Balitsky	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Е.К. Мухановой	E.K. Mukhanova	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
И.П. Бакаева	I.P. Bakaev	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
И.И. Рейнгольда	I.I. Reingold	people	person_name	medium	11	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
М.К. Чернявского	M.K. Chernyavsky	people	person_name	medium	11	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
М.Ф. Шкирятову	M.F. Shkiryatov	people	person_name	medium	8	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
С.М. Гессена	S.M. Hessen	people	person_name	medium	8	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
А.Ф. Шараповой	A.F. Sharapova	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Г.М. Аркуса	G.M. Arkus	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Д.А. Шмидта	D.A. Schmidt	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Дмитриев	Dmitriev	people	person_name	medium	17	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Розенфельд	N.A. Rozenfeld	people	person_name	medium	16	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Е. Евдокимова	G.E. Evdokimova	people	person_name	medium	14	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Членов	Chlenov	people	person_name	medium	14	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.И. Котолынова	I.I. Kotolynova	people	person_name	medium	13	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.И. Анишева	A.I. Anisheva	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Румянцева	V.V. Rumyantseva	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Б. Синани-Скалов	G.B. Sinani-Skalov	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Попова	G.F. Popova	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.С. Горшенина	I.S. Gorshenina	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.М. Гертика	A.M. Gertika	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.М. Харитонова	M.M. Kharitonova	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.В. Голубенко	N.V. Golubenko	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.С. Антонова	N.S. Antonova	people	person_name	medium	10	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.А. Николаева	P.A. Nikolaeva	people	person_name	medium	10	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Л. Браво	B.L. Bravo	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Н. Сахова	B.N. Sakhova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Барута	V.A. Baruta	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.И. Звездова	V.I. Zvezdova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.С. Левина	V.S. Levina	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
К.К. Муханова	K.K. Mukhanova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.А. Нырчука	M.A. Nyrchuka	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.Н. Яковлева	M.N. Yakovleva	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Т.И. Глебовой	T.I. Glebovoi	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.И. Толмазова	A.I. Tolmazova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Астров	Astrov	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.А. Молчанова	G.A. Molchanova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Федорова	G.F. Fedorova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.Г. Юскина	I.G. Yuskina	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.И. Тарасова	I.I. Tarasova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.И. Мухина	N.I. Mukhina	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.С. Куклина	A.S. Kuklina	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Кузьмина	V.V. Kuzmina	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.М. Попова	V.M. Popova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.Ф. Логинова	V.F. Loginova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Е.А. Дрейцера	E.A. Dreitsera	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.А. Мусульбаса	I.A. Musulbasa	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.В. Королькова	M.V. Korolkova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.П. Мясникова	N.P. Myasnikova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Ф.Ф. Фадеева	F.F. Fadeeva	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Виноградова	V.A. Vinogradova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Глухенко	V.V. Glukhenko	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Д.Н. Ширяева	D.N. Shiryaeva	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Е.Ф. Куликова	E.F. Kulikova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
З.И. Давыдовой	Z.I. Davydovoi	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.К. Наумова	I.K. Naumova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.М. Гуревича	I.M. Gurevicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.З. Мехлиса	L.Z. Mekhlisa	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.Я. Файвиловича	L.Ya. Faivilovicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.М. Киллерога	M.M. Killeroga	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Молотов	Molotov	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Угланова	N.A. Uglanova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.И. Бураго	N.I. Burago	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.И. Бескиной	P.I. Beskinoi	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
С.А. Чихладзе	S.A. Chikhladze	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.Р. Ельковича	Ya.R. Elkovicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.А. Шестова	A.A. Shestova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.В. Перимова	A.V. Perimova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Н. Сафоновой	A.N. Safonovoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Н. Слепкова	A.N. Slepkova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.П. Костиной	A.P. Kostinoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Ю. Айхенвальда	A.Yu. Aikhenvalda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Ю. Тивеля	A.Yu. Tivelya	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Н. Розенфельда	B.N. Rozenfelda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Яковлева	V.A. Yakovleva	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.И. Козырева	V.I. Kozyreva	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.Я. Головский-Голощапов	V.Ya. Golovskii-Goloshchapov	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.В. Соколова	G.V. Sokolova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.С. Горшениным	I.S. Gorsheninym	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.С. Сосновского	L.S. Sosnovskogo	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.Ф. Дитятевой	L.F. Dityatevoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.В. Поздеевой	M.V. Pozdeevoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.С. Рэма	M.S. Rema	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Царькова	N.A. Tsarkova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.Б. Розенфельда	N.B. Rozenfelda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.А. Коваленко	P.A. Kovalenko	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Шемелев	Shemelev	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.В. Шарова	Ya.V. Sharova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.С. Розанова	Ya.S. Rozanova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
interrogation_protocol	interrogation protocol	document_types	internal_document_type	low	982	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
special_report	special report	document_types	internal_document_type	low	526	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
letter	letter	document_types	internal_document_type	low	256	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
statement	statement	document_types	internal_document_type	low	78	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
confrontation_protocol	confrontation protocol	document_types	internal_document_type	low	57	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
session_transcript	session transcript	document_types	internal_document_type	low	51	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
testimony	testimony	document_types	internal_document_type	low	48	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
memo_note	memo note	document_types	internal_document_type	low	40	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
conversation_recording	conversation recording	document_types	internal_document_type	low	34	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
administrative_report	administrative report	document_types	internal_document_type	low	16	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
list	list	document_types	internal_document_type	low	16	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
telegram	telegram	document_types	internal_document_type	low	15	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
summary	summary	document_types	internal_document_type	low	7	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
reference_note	reference note	document_types	internal_document_type	low	6	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
indictment	indictment	document_types	internal_document_type	low	5	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
draft_project	draft project	document_types	internal_document_type	low	4	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
explanation	explanation	document_types	internal_document_type	low	4	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
press_summary	press summary	document_types	internal_document_type	low	4	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
decree_resolution	decree resolution	document_types	internal_document_type	low	3	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
plan_instruction	plan instruction	document_types	internal_document_type	low	3	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
verdict_or_sentence	verdict or sentence	document_types	internal_document_type	low	3	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
article	article	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
biographical_article	biographical article	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
correspondence	correspondence	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
data_extract	data extract	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
plea_pardon	plea pardon	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
questionnaire_response	questionnaire response	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
speech	speech	document_types	internal_document_type	low	2	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
autobiography	autobiography	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
brochure	brochure	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
interrogation_extract	interrogation extract	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
medical_act	medical act	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
poem	poem	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
program	program	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
search_protocol	search protocol	document_types	internal_document_type	low	1	approved	medium		internal UI/reporting label; not necessarily Google glossary entry
В.В. Шмидта	V.V. Schmidt	people	person_name	low	4	auto_normalized_needs_review	medium		auto transliteration adjusted by common historical romanization rules
М.К. Мухановой	M.K. Mukhanova	people	person_name	low	1	auto_normalized_needs_review	medium		auto transliteration adjusted by common historical romanization rules
П.И. Бакаева	P.I. Bakaev	people	person_name	low	1	auto_normalized_needs_review	medium		auto transliteration adjusted by common historical romanization rules
А.А. Мусатова	A.A. Musatova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Трояновского	A.A. Troyanovskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.В. Герцберга	A.V. Gertsberga	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Г. Колодина	A.G. Kolodina	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Александрова	A.I. Aleksandrova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
