source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	review_reason	notes
А.М. Гертика	A.M. Gertika	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.И. Рейнгольда	I.I. Reingold	people	person_name	medium	11	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
М.К. Чернявского	M.K. Chernyavsky	people	person_name	medium	11	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
М.М. Харитонова	M.M. Kharitonova	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.В. Голубенко	N.V. Golubenko	people	person_name	medium	11	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.С. Антонова	N.S. Antonova	people	person_name	medium	10	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.А. Николаева	P.A. Nikolaeva	people	person_name	medium	10	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Л. Браво	B.L. Bravo	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Н. Сахова	B.N. Sakhova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Барута	V.A. Baruta	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.И. Звездова	V.I. Zvezdova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.С. Левина	V.S. Levina	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
К.К. Муханова	K.K. Mukhanova	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.А. Нырчука	M.A. Nyrchuka	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.Н. Яковлева	M.N. Yakovleva	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Т.И. Глебовой	T.I. Glebovoi	people	person_name	medium	9	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.И. Толмазова	A.I. Tolmazova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Астров	Astrov	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.А. Молчанова	G.A. Molchanova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Федорова	G.F. Fedorova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.Г. Юскина	I.G. Yuskina	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.И. Тарасова	I.I. Tarasova	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.Ф. Шкирятову	M.F. Shkiryatov	people	person_name	medium	8	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Н.И. Мухина	N.I. Mukhina	people	person_name	medium	8	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
С.М. Гессена	S.M. Hessen	people	person_name	medium	8	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
А.С. Куклина	A.S. Kuklina	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Кузьмина	V.V. Kuzmina	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.М. Попова	V.M. Popova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.Ф. Логинова	V.F. Loginova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Е.А. Дрейцера	E.A. Dreitsera	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.А. Мусульбаса	I.A. Musulbasa	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.В. Королькова	M.V. Korolkova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.П. Мясникова	N.P. Myasnikova	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Ф.Ф. Фадеева	F.F. Fadeeva	people	person_name	medium	7	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Ф. Шараповой	A.F. Sharapova	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
В.А. Виноградова	V.A. Vinogradova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Глухенко	V.V. Glukhenko	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.М. Аркуса	G.M. Arkus	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Д.А. Шмидта	D.A. Schmidt	people	person_name	medium	6	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Д.Н. Ширяева	D.N. Shiryaeva	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Е.Ф. Куликова	E.F. Kulikova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
З.И. Давыдовой	Z.I. Davydovoi	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.К. Наумова	I.K. Naumova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.М. Гуревича	I.M. Gurevicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.З. Мехлиса	L.Z. Mekhlisa	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.Я. Файвиловича	L.Ya. Faivilovicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.М. Киллерога	M.M. Killeroga	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Молотов	Molotov	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Угланова	N.A. Uglanova	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.И. Бураго	N.I. Burago	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.И. Бескиной	P.I. Beskinoi	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
С.А. Чихладзе	S.A. Chikhladze	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.Р. Ельковича	Ya.R. Elkovicha	people	person_name	medium	6	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.А. Шестова	A.A. Shestova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.В. Перимова	A.V. Perimova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Н. Сафоновой	A.N. Safonovoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Н. Слепкова	A.N. Slepkova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.П. Костиной	A.P. Kostinoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Ю. Айхенвальда	A.Yu. Aikhenvalda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
А.Ю. Тивеля	A.Yu. Tivelya	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Б.Н. Розенфельда	B.N. Rozenfelda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Яковлева	V.A. Yakovleva	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.И. Козырева	V.I. Kozyreva	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.Я. Головский-Голощапов	V.Ya. Golovskii-Goloshchapov	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.В. Соколова	G.V. Sokolova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.С. Горшениным	I.S. Gorsheninym	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.С. Сосновского	L.S. Sosnovskogo	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Л.Ф. Дитятевой	L.F. Dityatevoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.В. Поздеевой	M.V. Pozdeevoi	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
М.С. Рэма	M.S. Rema	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Царькова	N.A. Tsarkova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.Б. Розенфельда	N.B. Rozenfelda	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
П.А. Коваленко	P.A. Kovalenko	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Шемелев	Shemelev	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.В. Шарова	Ya.V. Sharova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Я.С. Розанова	Ya.S. Rozanova	people	person_name	medium	5	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
