source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
КРЕМЛЕВСКОЕ ДЕЛО	Kremlin Case	processes	process_name	high	292	approved	high	not_person													canonical process label
Коминтерн	Comintern	organizations	organization	high	290	approved	high	not_person													canonical organization/institution label
ПРОЦЕСС 2-12 МАРТА 1938 г.	March 1938 Trial	processes	process_name	high	284	approved	high	not_person													canonical process label
Политбюро	Politburo	organizations	organization	high	278	approved	high	not_person													canonical organization/institution label
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Leningrad Center Trial	processes	process_name	high	175	approved	high	not_person													canonical process label
Г.Г. Ягода	Genrikh Yagoda	people	person_name	high	158	approved	high	tier1_core_or_high_frequency									158	21	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:83 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:48 | КРЕМЛЕВСКОЕ ДЕЛО:13 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 2-12 МАРТА 1938 г.:5 | РАЗНЫЕ ДОКУМЕНТЫ:1	curated historical English name
Совнарком	Council of People's Commissars	organizations	organization	high	126	approved	high	not_person													canonical organization/institution label
Известия	Izvestia	organizations	organization	high	103	approved	high	not_person													canonical organization/institution label
Ольберг	Valentin Olberg	people	person_name	high	94	approved	high	tier1_core_or_high_frequency									94	15	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:93 | СТАТЬИ:1	curated historical English name
ЦИК СССР	Central Executive Committee of the USSR	organizations	organization	high	82	approved	high	not_person													canonical organization/institution label
Седов	Lev Sedov	people	person_name	high	78	approved	high	tier1_core_or_high_frequency									78	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:46 | ТРОЦКИЙ:31 | КРЕМЛЕВСКОЕ ДЕЛО:1	curated historical English name
ИККИ	Executive Committee of the Communist International	organizations	organization	high	76	approved	high	not_person													canonical organization/institution label
Агранов	Yakov Agranov	people	person_name	high	74	approved	high	tier1_core_or_high_frequency									74	14	1	КРЕМЛЕВСКОЕ ДЕЛО:37 | ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	curated historical English name
Бухарин	Nikolai Bukharin	people	person_name	high	73	approved	high	tier1_core_or_high_frequency									73	12	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:72 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	curated historical English name
КПК	Party Control Commission	organizations	organization	high	54	approved	high	not_person													canonical organization/institution label
ИНО ГУГБ	Foreign Department of the GUGB	organizations	organization	high	53	approved	high	not_person													canonical organization/institution label
Зиновьев	Grigory Zinoviev	people	person_name	high	50	approved	high	tier1_core_or_high_frequency									50	12	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:35 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:11 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	curated historical English name
Л.В. Николаева	L.V. Nikolaeva	people	person_name	high	43	approved	medium	tier1_core_or_high_frequency	high_priority_person_needs_human_review	approved_by_g3_curated_or_morphological_rule							43	6	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:42 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	G3 curated/corrected canonical person form
ОО ГУГБ НКВД	Special Department of the GUGB NKVD	organizations	organization	high	40	approved	high	not_person													canonical organization/institution label
Верховный Суд СССР	Supreme Court of the USSR	organizations	organization	high	33	approved	high	not_person													canonical organization/institution label
Г.Е. Прокофьева	G.E. Prokofiev	people	person_name	high	33	approved	medium	tier1_core_or_high_frequency	high_priority_person_needs_human_review	approved_by_g3_curated_or_morphological_rule							33	13	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:33	G3 curated/corrected canonical person form
Г.И. Сафарова	G.I. Safarov	people	person_name	high	32	approved	medium	tier1_core_or_high_frequency	high_priority_person_needs_human_review	approved_by_g3_curated_or_morphological_rule							32	10	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:31 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	G3 curated/corrected canonical person form
ТРОЦКИЙ	Trotsky Dossier	processes	process_name	high	31	approved	high	not_person													canonical process label
НКИД	People's Commissariat for Foreign Affairs	organizations	organization	high	28	approved	high	not_person													canonical organization/institution label
Л.Д. Троцкий	Leon Trotsky	people	person_name	high	28	approved	high	tier1_core_or_high_frequency									28	4	1	ТРОЦКИЙ:15 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:13	curated historical English name
Каменев	Lev Kamenev	people	person_name	high	26	approved	high	tier1_core_or_high_frequency									26	11	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:17 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | КРЕМЛЕВСКОЕ ДЕЛО:4	curated historical English name
Радек	Karl Radek	people	person_name	high	25	approved	high	tier1_core_or_high_frequency									25	12	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:23 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	curated historical English name
Пятаков	Georgy Pyatakov	people	person_name	high	22	approved	high	tier1_core_or_high_frequency									22	10	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:20 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	curated historical English name
Секретариат ЦИК СССР	Secretariat of the Central Executive Committee of the USSR	organizations	organization	high	20	approved	high	not_person													canonical organization/institution label
Е.В. Цетлина	E.V. Tsetlin	people	person_name	high	20	approved	medium	tier1_core_or_high_frequency	high_priority_person_needs_human_review	approved_by_g3_curated_or_morphological_rule							20	10	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G3 curated/corrected canonical person form
КПК при ЦК ВКП(б)	Party Control Commission under the Central Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	15	approved	high	not_person													canonical organization/institution label
Прокуратура СССР	Prosecutor's Office of the USSR	organizations	organization	high	10	approved	high	not_person													canonical organization/institution label
Горьковский крайком ВКП(б)	Gorky Regional Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	9	approved	high	not_person													canonical organization/institution label
Лига Наций	League of Nations	organizations	organization	high	5	approved	high	not_person													canonical organization/institution label
РАЗНЫЕ ДОКУМЕНТЫ	Miscellaneous Documents	processes	process_name	high	4	approved	high	not_person													canonical process label
СТАТЬИ	Articles	processes	process_name	high	2	approved	high	not_person													canonical process label
The New York Times	The New York Times	organizations	organization	high	1	approved	high	not_person													curated organization label
United Press International	United Press International	organizations	organization	high	1	approved	high	not_person													curated organization label
Верховный Совет СССР	Supreme Soviet of the USSR	organizations	organization	high	1	approved	high	not_person													canonical organization/institution label
Народная Трудовая Демократическая партия России	People's Labor Democratic Party of Russia	organizations	organization	high	1	approved	high	not_person													curated organization label
член	member	roles	generic_membership	medium	1482	approved	high														role/label translation; review political and accusatory labels
троцкист	Trotskyist	roles	political_label	medium	1357	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review	approved_by_g4_1_semantic_role_policy								Political/accusatory label. Preserve as Trotskyist; do not neutralize as ordinary party affiliation.
секретарь	secretary	roles	office_position	medium	988	approved	high														role/label translation; review political and accusatory labels
комиссар	commissar	roles	office_position	medium	667	approved	high														role/label translation; review political and accusatory labels
руководитель	leader	roles	office_position	medium	639	approved	high														role/label translation; review political and accusatory labels
правый	Rightist	roles	political_label	medium	607	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review	approved_by_g4_1_semantic_role_policy								Political label in Soviet opposition context. Preserve as Rightist.
нарком	People's Commissar	roles	office_position	medium	530	approved	high														role/label translation; review political and accusatory labels
начальник	chief	roles	office_position	medium	506	approved	high														role/label translation; review political and accusatory labels
сотрудник	staff member	roles	generic_staff	medium	381	approved	high														role/label translation; review political and accusatory labels
директор	director	roles	office_position	medium	380	approved	high														role/label translation; review political and accusatory labels
председатель	chairman	roles	office_position	medium	361	approved	high														role/label translation; review political and accusatory labels
обвиняемый	accused	roles	trial_role	medium	347	approved	high														role/label translation; review political and accusatory labels
заместитель	deputy	roles	office_position	medium	283	approved	high														role/label translation; review political and accusatory labels
представитель	representative	roles	generic_representative	medium	278	approved	high														role/label translation; review political and accusatory labels
агент	agent	roles	accusatory_or_intelligence_label	medium	222	approved	medium	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review	approved_by_g4_1_semantic_role_policy								Context-sensitive term: may mean agent, operative, or accused intelligence/foreign agent.
кандидат	candidate	roles	generic_membership	medium	208	approved	high														role/label translation; review political and accusatory labels
редактор	editor	roles	office_position	medium	172	approved	high														role/label translation; review political and accusatory labels
прокурор	prosecutor	roles	office_position	medium	119	approved	high														role/label translation; review political and accusatory labels
следователь	investigator	roles	office_position	medium	119	approved	high														role/label translation; review political and accusatory labels
свидетель	witness	roles	trial_role	medium	95	approved	high														role/label translation; review political and accusatory labels
посол	ambassador	roles	office_position	medium	88	approved	high														role/label translation; review political and accusatory labels
адвокат	defense attorney	roles	office_position	medium	83	approved	high														role/label translation; review political and accusatory labels
подсудимый	defendant	roles	trial_role	medium	74	approved	high														role/label translation; review political and accusatory labels
полпред	plenipotentiary representative	roles	office_position	medium	69	approved	high														role/label translation; review political and accusatory labels
вредитель	wrecker	roles	accusatory_label	medium	58	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review	approved_by_g4_1_semantic_role_policy								Accusatory Stalinist term. Preserve conventional historical rendering: wrecker.
наркомвнудел	People's Commissar of Internal Affairs	roles	office_position	medium	49	approved	high														role/label translation; review political and accusatory labels
корреспондент	correspondent	roles	office_position	medium	44	approved	high														role/label translation; review political and accusatory labels
судья	judge	roles	office_position	medium	31	approved	high														role/label translation; review political and accusatory labels
Рыков	Alexei Rykov	people	person_name	medium	18	approved	high	tier2_significant									18	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:11 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	curated historical English name
Сокольников	Grigory Sokolnikov	people	person_name	medium	18	approved	high	tier2_significant									18	11	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:15 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	curated historical English name
Дмитриев	Dmitriev	people	person_name	medium	17	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							17	12	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:9 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G3 curated/corrected canonical person form
Н.А. Розенфельд	N.A. Rosenfeld	people	person_name	medium	16	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							16	8	1	КРЕМЛЕВСКОЕ ДЕЛО:16	G3 curated/corrected canonical person form
Г.Е. Евдокимова	G.E. Evdokimov	people	person_name	medium	14	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							14	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	G3 curated/corrected canonical person form
Членов	Chlenov	people	person_name	medium	14	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							14	9	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	G3 curated/corrected canonical person form
В.А. Балицкого	Vsevolod Balitsky	people	person_name	medium	13	approved	medium	tier2_significant	medium_priority_person_optional_review		medium	person_10plus_docs_not_approved	approved_by_g4_historical_person_map	medium			13	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:11 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	G4 historical/person canonicalization
И.И. Котолынова	I.I. Kotolynov	people	person_name	medium	13	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							13	3	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:13	G3 curated/corrected canonical person form
И.П. Бакаева	Ivan Bakaev	people	person_name	medium	13	approved	medium	tier2_significant	medium_priority_person_optional_review		medium	person_10plus_docs_not_approved	approved_by_g4_historical_person_map	medium			13	11	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	G4 historical/person canonicalization
А.И. Анишева	A.I. Anishev	people	person_name	medium	12	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							12	7	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12	G3 curated/corrected canonical person form
В.В. Румянцева	V.V. Rumyantsev	people	person_name	medium	12	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							12	6	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	G3 curated/corrected canonical person form
Г.Б. Синани-Скалов	G.B. Sinani-Skalov	people	person_name	medium	12	approved	medium	tier2_significant	medium_priority_person_optional_review		medium	person_10plus_docs_not_approved	approved_by_g4_historical_person_map	medium			12	13	1	КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	G4 historical/person canonicalization
Г.Ф. Попова	G.F. Popov	people	person_name	medium	12	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							12	3	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	G3 curated/corrected canonical person form
И.С. Горшенина	I.S. Gorshenin	people	person_name	medium	12	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							12	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12	G3 curated/corrected canonical person form
А.М. Гертика	A.M. Gertik	people	person_name	medium	11	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							11	7	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G3 curated/corrected canonical person form
И.И. Рейнгольда	Isaak Reingold	people	person_name	medium	11	approved	medium	tier2_significant	medium_priority_person_optional_review		medium	person_10plus_docs_not_approved	approved_by_g4_historical_person_map	medium			11	10	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	G4 historical/person canonicalization
Л.М. Каганович	Lazar Kaganovich	people	person_name	medium	11	approved	high	tier2_significant									11	10	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	curated historical English name
М.К. Чернявского	M.K. Chernyavsky	people	person_name	medium	11	approved	medium	tier2_significant	medium_priority_person_optional_review		medium	person_10plus_docs_not_approved	approved_by_g4_historical_person_map	medium			11	4	1	КРЕМЛЕВСКОЕ ДЕЛО:11	G4 historical/person canonicalization
М.М. Харитонова	M.M. Kharitonov	people	person_name	medium	11	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							11	7	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:11	G3 curated/corrected canonical person form
Н.В. Голубенко	N.V. Golubenko	people	person_name	medium	11	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							11	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:11	G3 curated/corrected canonical person form
А.Я. Вышинский	Andrey Vyshinsky	people	person_name	medium	10	approved	high	tier2_significant									10	8	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	curated historical English name
Н.С. Антонова	N.S. Antonov	people	person_name	medium	10	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							10	3	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10	G3 curated/corrected canonical person form
П.А. Николаева	P.A. Nikolaev	people	person_name	medium	10	approved	medium	tier2_significant	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							10	5	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10	G3 curated/corrected canonical person form
Смирнов	Ivan Smirnov	people	person_name	medium	10	approved	high	tier2_significant									10	12	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10	curated historical English name
Б.Л. Браво	B.L. Bravo	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	approved_by_g4_historical_person_map	medium			9	8	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:9	G4 historical/person canonicalization
Б.Н. Сахова	B.N. Sakhov	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	7	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	G3 curated/corrected canonical person form
В.А. Барута	V.A. Baruta	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	approved_by_g4_historical_person_map	medium			9	2	1	КРЕМЛЕВСКОЕ ДЕЛО:9	G4 historical/person canonicalization
В.С. Левина	V.S. Levin	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	4	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:9	G3 curated/corrected canonical person form
К.К. Муханова	K.K. Mukhanov	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	4	1	КРЕМЛЕВСКОЕ ДЕЛО:9	G3 curated/corrected canonical person form
Киров	Sergei Kirov	people	person_name	medium	9	approved	high	tier4_auto_ok									9	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | КРЕМЛЕВСКОЕ ДЕЛО:1	curated historical English name
М.А. Нырчука	M.A. Nyrchuk	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	3	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:9	G3 curated/corrected canonical person form
М.Н. Яковлева	M.N. Yakovlev	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	7	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G3 curated/corrected canonical person form
Т.И. Глебовой	T.I. Glebova	people	person_name	medium	9	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							9	10	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	G3 curated/corrected canonical person form
А.С. Енукидзе	Avel Yenukidze	people	person_name	medium	8	approved	high	tier4_auto_ok									8	8	1	КРЕМЛЕВСКОЕ ДЕЛО:8	curated historical English name
Астров	Astrov	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	approved_by_g4_historical_person_map	medium			8	10	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G4 historical/person canonicalization
Г.А. Молчанова	G.A. Molchanov	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							8	8	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	G3 curated/corrected canonical person form
Г.Ф. Федорова	G.F. Fedorov	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							8	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	G3 curated/corrected canonical person form
И.Г. Юскина	I.G. Yuskin	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							8	4	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:8	G3 curated/corrected canonical person form
И.И. Тарасова	I.I. Tarasov	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							8	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	G3 curated/corrected canonical person form
Н.И. Мухина	N.I. Mukhin	people	person_name	medium	8	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							8	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8	G3 curated/corrected canonical person form
С.В. Мрачковский	Sergei Mrachkovsky	people	person_name	medium	8	approved	high	tier4_auto_ok									8	7	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8	curated historical English name
В.В. Кузьмина	V.V. Kuzmin	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							7	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:7	G3 curated/corrected canonical person form
В.М. Попова	V.M. Popov	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							7	6	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7	G3 curated/corrected canonical person form
В.Ф. Логинова	V.F. Loginov	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							7	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7	G3 curated/corrected canonical person form
Е.А. Дрейцера	E.A. Dreitser	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule			approved_by_g4_historical_person_map	medium			7	10	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7	G4 historical/person canonicalization
И.А. Мусульбаса	I.A. Musulbas	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	approved_by_g4_historical_person_map	medium			7	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7	G4 historical/person canonicalization
Н.П. Мясникова	N.P. Myasnikov	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							7	6	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:7	G3 curated/corrected canonical person form
Ф.Ф. Фадеева	F.F. Fadeev	people	person_name	medium	7	approved	medium	tier4_auto_ok	medium_priority_person_optional_review	approved_by_g3_curated_or_morphological_rule							7	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7	G3 curated/corrected canonical person form
Г.М. Аркуса	G.M. Arkus	people	person_name	medium	6	approved	medium	tier4_auto_ok	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	approved_by_g4_historical_person_map	medium			6	5	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	G4 historical/person canonicalization
