asset_doc_id	asset_group	language	sequence	title	text_path	chars	words	source_html
ezhov_1939_ru_004	ezhov_1939_interrogations	ru	4	Ezhov interrog 04.30.39.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_004__ezhov-interrog-04-30-39-doc.txt	27	6	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_005	ezhov_1939_interrogations	ru	5	Ezhov interrog, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrog on 525-6.	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_005__ezhov-interrog-pavliukov-525-6-n-489-p-564-short-q-from-interrog-on-525-6.txt	877	119	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_006	ezhov_1939_interrogations	ru	6	Ezhov interrog 05.05.1939.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_006__ezhov-interrog-05-05-1939-doc.txt	1094	153	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_007	ezhov_1939_interrogations	ru	7	Ezhov interrog May 11 1939 by Kobulov.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_007__ezhov-interrog-may-11-1939-by-kobulov-doc.txt	4288	674	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_008	ezhov_1939_interrogations	ru	8	Ezhov interrog 05.17.39.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_008__ezhov-interrog-05-17-39-doc.txt	635	94	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_009	ezhov_1939_interrogations	ru	9	Ezhov interrog 06.16.39 by Rodos, selections – Poliansky 230-233.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_009__ezhov-interrog-06-16-39-by-rodos-selections-poliansky-230-233-doc.txt	1627	265	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_010	ezhov_1939_interrogations	ru	10	Ezhov interrog June 19 1939.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_010__ezhov-interrog-june-19-1939-doc.txt	1489	212	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_011	ezhov_1939_interrogations	ru	11	Ezhov interrog 06.21.39 by Rodos, fm Poliansky 235-238.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_011__ezhov-interrog-06-21-39-by-rodos-fm-poliansky-235-238-doc.txt	4616	694	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_012	ezhov_1939_interrogations	ru	12	Ezhov conf. 06.25.39 Rodos re poisons.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_012__ezhov-conf-06-25-39-rodos-re-poisons-doc.txt	4468	713	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_013	ezhov_1939_interrogations	ru	13	Ezhov interrog 06.29.39 by Rodos re Kedrov’s rpt.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_013__ezhov-interrog-06-29-39-by-rodos-re-kedrov-s-rpt-doc.txt	2536	423	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_014	ezhov_1939_interrogations	ru	14	Ezhov interrog 07.02.39 by Rodos re Mnatsakanov.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_014__ezhov-interrog-07-02-39-by-rodos-re-mnatsakanov-doc.txt	12620	2019	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_015	ezhov_1939_interrogations	ru	15	Ezhov interrog 07.08.39 by Rodos.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_015__ezhov-interrog-07-08-39-by-rodos-doc.txt	8553	1334	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_016	ezhov_1939_interrogations	ru	16	Ezhov ochnaia stavka w. Zhukovsky 07.21.39 – Rodos & Esaulov present.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_016__ezhov-ochnaia-stavka-w-zhukovsky-07-21-39-rodos-esaulov-present-doc.txt	3978	567	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_017	ezhov_1939_interrogations	ru	17	Ezhov interrog 07.24.39 by Rodos, incl Q fm a Frinovsky interrog.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_017__ezhov-interrog-07-24-39-by-rodos-incl-q-fm-a-frinovsky-interrog-doc.txt	5775	865	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_018	ezhov_1939_interrogations	ru	18	Ezhov interrog 08.02.39 by Rodos.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_018__ezhov-interrog-08-02-39-by-rodos-doc.txt	10002	1328	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_019	ezhov_1939_interrogations	ru	19	Ezhov interrog 08.03.39 by Rodos.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_019__ezhov-interrog-08-03-39-by-rodos-doc.txt	7816	1093	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_020	ezhov_1939_interrogations	ru	20	Ezhov ochnaia stavka with Bulatov 09.20.39.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_020__ezhov-ochnaia-stavka-with-bulatov-09-20-39-doc.txt	115	15	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_021	ezhov_1939_interrogations	ru	21	Ezhov interrog 10.25.39 by Esaulov.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_021__ezhov-interrog-10-25-39-by-esaulov-doc.txt	4216	659	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_022	ezhov_1939_interrogations	ru	22	Ezhov protocol of end of investigation 02.01.40.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_022__ezhov-protocol-of-end-of-investigation-02-01-40-doc.txt	1737	245	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_023	ezhov_1939_interrogations	ru	23	Ezhov’s trial. Transcript obviously exists, but is still secret.	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_023__ezhov-s-trial-transcript-obviously-exists-but-is-still-secret.txt	2607	377	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_024	ezhov_1939_interrogations	ru	24	Ezhov Last Words at trial 02.03.40.doc – here	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_024__ezhov-last-words-at-trial-02-03-40-doc-here.txt	74	11	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_025	ezhov_1939_interrogations	ru	25	Ezhov rehabilitation decision 1998.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_025__ezhov-rehabilitation-decision-1998-doc.txt	1503	208	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
