asset_doc_id	asset_group	language	sequence	title	text
ezhov_1939_en_019	ezhov_1939_interrogations	en	19	Ezhov interrogation 08.02.39 by Rodos	"Ezhov interrogation 08.02.39 by Rodos - Polianskii 275-280 (plain text); Briukhanov & Shoshkov 139-142 (italics); in both of them (underlined). / 275 / Tell us in detail about the sabotage activities that were carried out by you and your colleagues on the economic properties of the NKVD – said Rodos, preparing to write down the confessions. In addition to the large quantity of economic properties that had been under the direction of the NKVD under Iagoda and which had developed greatly during the years 1937-1938, that is Kolyma, Indigirka, Norilstroi and others, I succeeded in significantly increasing the economic activity of the NKVD by means of new properties. During these years I succeeded in carrying forth in the government the question about the transfer to the direction of the NKVD of many forest regions of the Commissariat of Forests, in connection with which the production program of the forest camps of the NKVD in the preparation and export of wood products in 1938 comprised almost half of the whole program of the Commissariat of Forests. Into the direction of the NKVD were transferred the construction of railroad lines that had the most important defense significance, such as the Baikal-Amur railway, the line from Ulan-Ude to Naushi, the Soroka-Pliasetskaia, the Ukhto-Pecherskaia line, and others. Among the purely defense-oriented properties I achieved the transfer under the direction of the NKVD of the construction of the Archangel shipbuilding factory and almost all the powder cellulose factories in Archangel, Solikamsk and other places, at the same time having organized the construction of ten smaller cellulose factories. On the initiative of the NKVD, on top of the programs confirmed by the government, the NKVD was given the construction of the world’s largest hydroelectric station – the Kuibyshev hydro network. /140/ Sabotage and mismanagement in the construction sites flourished with complete impunity. We managed to go over completely to questions of defense construction, achieving practical control over a significant part of it. This gave us the possibility in case of need in our conspiratorial goals to vary and carry out different subversive measures which could help accomplish the defeat of the USSR in wartime and our coming to power. …The greatest population of prisoners was the border regions of the far Eastern borders. Here it was very easy for us to take over different economic tasks of a defense nature because of the lack of workers. However the camps of the Far Eastern Region were situated not only near to the borders but we sent there mostly prisoners sentenced for espionage, diversion, terror and other more serious crimes, and we sent almost no so-called ""ordinary"" prisoners. In this way along the borders of the FER, in the direct rear of the Red Army was prepared the most active and embittered counterrevolutionary force, which we planned to use in the widest possible manner in case of complication or of war with the Japanese… A significant quantity of prisoners were concentrated on our western borders of Ukraine, Belorussia, the Leningrad oblast’, and the Karelian ASSR, especially in road construction. … The whole conspiratorial plan of the regime we created for the prisoners consisted in that the most privileged conditions were created for the prisoners sentenced for the most serious crimes (espionage and terrorism), since that was the qualified force that would often be used for directing the administrative and economic work in the camps. In their hands was concentrated also all the cultural and educational work of the prisoners. It is clear in what spirit they were educated. Finally the regime created in the camps often permitted the counterrevolutionary activity of the prisoners to continue with complete impunity. In the camps the work of the so-called 3rd sections was so badly organized and the camps were guarded so poorly, that the prisoners had the possibility of creating their own counterrevolutionary groups in the camps and to associate with each other at will. Facts like this were many. The guard of the camps was extremely small, made up of unreliable people, the material situation of the soldiers and the command staff was very poor, and, finally, the prisoners themselves were used in many cases in the capacity of guards. As a result of a security organized like this there were many cases of mass escapes from the camps. We fought against this evil poorly and did so consciously, in the hopes that the escapees from the camps would continue their counterrevolutionary activity and would become a force that would spread all kinds of anti-Soviet agitation and rumors. / 276 / I achieved the transfer under the direction of the NKVD a series of working factors of the defense industry. The reason for that could not have been the use of the labor of prisoners, since among them were the Pavshinskii factory, the Tushinskii factory of aviation motor construction, and others. Besides that, the NKVD organized a series of new factories on its own initiative, which carried out defense production… What, do you think we called you here to report on behalf of the NKVD about the successful fulfillment of the Five-Year Plan! You are a bandit, a conspirator, a saboteur, a terrorist, and a traitor. Answer the question asked you to the point. Sabotage and mismanagement in the construction sites flourished with complete impunity. I’ll bet, with a Commissar like that. – said Rodos with a grimace, not stopping his note-taking. We managed to go over completely to questions of defense construction, achieving practical control over a significant part of it… Who is this ""we""? Well, our conspiratorial organization. Myself, Zhukovsky, Frinovskii, and others. I have already named them all earlier. This gave our organization the possibility in case of need in our conspiratorial goals to vary and carry out different subversive measures which could help accomplish the defeat of the USSR in wartime and our coming to power. In which areas was the subversive activity of your organization mainly distributed? The greatest population of prisoners was the border regions of the far Eastern borders. Here it was very easy for us to take over different economic tasks of a defense nature because of the lack of workers. However the camps of the Far Eastern Region were situated not only near to the borders but we sent there mostly prisoners sentenced for espionage, diversion, terror and other more serious crimes, and we sent almost no so-called ""ordinary"" prisoners. In this way along the borders of the FER, in the direct rear of the Red Army was prepared the most active and embittered counterrevolutionary force, which we planned to use in the widest possible manner in case of complication or of war with the Japanese. Did you send Liushkov there specially. What assignments did you give him? At the beginning of 1937 Frinovskii and I conferred with each other and decided that we had to have our own man in the Far East, through whom we could maintain contact with Japanese intelligence. In the event of an attack by the Japanese he was to let the counterrevolutionaries out of the camps, seize with their help the stores of arms and military supplies, and then head terrorist-diversionist work in the rear of the Red Army. We thought about this and chose Liushkov for these purposes, whom I had already recruited to our organization in 1936. Then I transferred him from the Azovo-Chernomorskii region and made him the head of the NKVD in the Far Eastern Region. In which other areas did you create the same kind of espionage-diversionist centers? We also did this in the western borders of the USSR. A significant quantity of prisoners were concentrated on our western borders of Ukraine, Belorussia, the Leningrad oblast’, and the Karelian ASSR. In Leningrad oblast and Karelia Litvin was in charge for you, of course? Yes. I sent him there specially at the beginning of 1938 instead of Zakovskii, whom I could not fully trust. And in the Ukraine? There Uspenskii all the assignments, including contact with Polish and German intelligence. That is why I made him Commissar of Internal Affairs of the Ukraine. When was he recruited by you? At the beginning of 1937. He came to Moscow from Novosibirsk before he was appointed to the position of chief of the UNKVD for the Orenburg oblast. I knew that Uspenskii was anti-Soviet, anti-party, and for that reason he immediately agreed to work in our organization. In Belorussia you sent Boris Berman? Did you know that he was an old German agent? Yes. Artnau told me that Berman was working for German intelligence as soon as I became Commissar of Internal Affairs. He had been recruited at the beginning of the ‘thirties, when he was / 279 / [Soviet] resident in Germany. I immediately established espionage contact with him, then he was the assistant chief of the INO. In 1937 I specially sent him from our organization to Belorussia and made him Commissar of Internal Affairs. There he met with German agents and received assignments and instructions. That means your widespread espionage organization in the case of an attack on the USSR by Japan and Germany could seize power not only in Moscow but in border areas, opening the road to the invaders. Do I understand this correctly from your confessions? Yes. That was exactly what we had planned. It’s useless to deny such things. Tell me, was counterrevolutionary work carried on by your confederates in the camps for the purpose of establishing there bases for sabotage and anti-Soviet activity? In the camps the work of the so-called 3rd sections was so badly organized and the camps were guarded so poorly, that the prisoners had the possibility of creating their own counterrevolutionary groups in the camps and to associate with each other at will. Facts like this were many. The guard of the camps was extremely small, made up of unreliable people, the material situation of the soldiers and the command staff was very poor, and, finally, the prisoners themselves were used in many cases in the capacity of guards. As a result of a security organized like this there were many cases of mass escapes from the camps. We fought against this evil poorly and did so consciously, in the hopes that the escapees from the camps would continue their counterrevolutionary activity and would become a force that would spread all kinds of anti-Soviet agitation and rumors… [At that moment the telephone on Rodos’s table started to ring.] / 280 / I am leaving right away, I will be back at four o’clock for sure. We shall continue the interrogation tomorrow, and you remember what concretely sabotage work you carried out with your confederates in the economic properties of the NKVD. ______________ "
ezhov_1939_en_020	ezhov_1939_interrogations	en	20	Ezhov interrogation 08.03.39 by Rodos	"Ezhov interrogation 08.03.39 by Rodos Polianskii 280-284 ""The overwhelming majority of the prisoners were so-called vicious ""refusers"", as a rule people who had not fulfilled the assigned norm of work, in connection with which these latter were deliberately extremely poorly provided, something we also did for sabotage purposes. This circumstance, and a series of other subversive measures of the conspiratorial organization caused the necessity of more and more prisoners being brought to Kolyma. The government every year devoted enormous expenses to the development of Kolyma, spending hundreds of millions of rubles. If these means had been rationally spent, the mining at the rich Kolyma sites could have been significantly mechanized. Mechanization would not only have reduced the necessity of holding a large quantity of prisoners in Kolyma and of bringing to them a huge amount of foodstuffs and other supplies, but would have increased the yield of metal and sharply lowered its cost. Meanwhile mechanization was slowed down by sabotage and all the extraction was based on muscle power alone. As a result already in 1938 more than 100,000 prisoners were brought to Kolyma. The whole area of Kolyma is rich not only in gold, but in many other ores. Specifically, in Kolyma there are huge supplies of coal and other forms of fuel. With any kind of careful economic approach to the matter it would have been possible without any difficulty to satisfy the demands of Kolyma with coal and even with oil without the costly transporting of them from the European part of the USSR. However the coal deposits of Kolyma are not exploited at all. In Kolyma it would unquestionably be possible to wholly cease the importation even of explosive materials and of the simplest equipment, which also is brought in every year in great quantities. For this purposes it would be necessary to build in Kolyma a very simple mechanical factory of modest size or, even better, workshops that could manufacture the simplest equipment and spare parts. Just as easily and quickly could and should be built in Kolyma an explosives factory of modest size, since almost all raw materials necessary for this exist there. Finally, in Kolyma the importation of foodstuffs could be significantly reduced. Such a possibility is completely obtainable for Kolyma, where meat, fish and even vegetable production could be developed. All this was deliberately ignored by us, and the supply of Kolyma was wholly laid upon the shoulders of the state. I have already said that the region of Kolyma together with the gold-bearing regions are rich also in a whole series of other rare ores. So, for example, there are rich industrial supplies of tin, antimony, copper, micas, and other ores. These extremely valuable ores that have enormous economic and defense significance are not worked at all or are extracted in tiny quantities, like tin, while in Kolyma there are all the possibilities of setting up the extraction of these ores at the same time as that of gold, the more so since the regions with these ores are nearby. It is clear that the parallel extraction of gold and of other valuable ores that are so territorially adjacent where, consequently, it would be possible to set up a unified, energetic, mechanical economic unit, and to reduce to a significant extent the cost of gold and of other rare metals. These questions we deliberately and as an act of sabotage ignored, and did not even present to the government. What role in this was played by the foreign intelligence services with which you were collaborating? They, of course, knew what we were doing and encouraged and supported our subversive work in every way. But as far as I know they did not specially give any assignments either to me or to their other agents, since, no doubt, they were certain that we ourselves knew where we should best carry out the sabotage. Name the concrete properties where sabotage was carried out according to your instructions. The construction of the Ukhto-Pechersk road has a decisive meaning for the development of the extraction of coal, oil, and other valuable products, without which the economic development of the Northern region as a whole is impossible. Meanwhile the construction of this road was retarded by us deliberately and in every way, under various pretexts and the resources allotted to it were spread over a large area of work and did not have any effect. The retardation in the construction of the Ukhto-Pechersk railroad is explained in the main by the lack of a satisfactory plan, which the Commissariat of Roads and Rails should present. The saboteurs in the GULAG and in the Commissariat of Roads and Rails with our support organized a never-ending dispute about the choice of the direction of the roads, which has been going on for a long time now, and the planning and even the exploratory works in many sectors have not been begun to this day. Finally, it was essential not to spread out our resources over a broad front of works, but to concentrate on the decisive sections for the export of production. And precisely the construction of the Ukhto-Pechersk line should have been strictly divided into several stages. In the first part should have been concentrated all the forces and resources to finish the construction of the Vorkuta-Abez’ section, for the purpose of exporting coal. But we hindered that, insofar as all decisions were mine. Further, the construction of the section from the oil-bearing areas of Ukhta to Kotel’nich should have been organized, and these works could have been fully developed from two directions, both from Kotel’nich and from Ukhta. Only in the final stage could have been finished those sections that unite the coal-rich Vorkuta areas with the oil-bearing Ukhta areas and that give in this way an outlet for coal and oil in two directions. But nothing of this was done because of our sabotage. What subversive, espionage and sabotage activity did you carry out in the GULAG itself? * We understood, that the expansion of the economic functions of the NKVD must express themselves in the worsening of our basic operative work. We proposed to widely use the system of camps so as to send there the compromised part of NKVD workers. There are not only drunkards, idlers and wastrels. Among them were people with a Trotskyist past, Rights who sympathized with Bukharin, and Iagoda’s people. De-facto they were all recruited by us since, in sending them to the GULAG, we were hinting to them that we had evidence against them that could be investigated at any moment. In this manner we created a special reserve of people read to carry out any conspiratorial task. But there were many anti-Soviet elements in the GULAG even without this. The conspiratorial leadership of the GULAG remained, for all practical purposes, unreplaced. At the time of my arrival in the NKVD the GULAG was headed by the conspirator of Iagoda’s group Matvei Berman, Boris Berman’s older brother. He had put together a large anti-Soviet group of people who occupied more or less responsible posts in the GULAG. Among these people were a great many Trotskyists, Zinovievists, Rights, and it was easy to attract them to our side after Berman left when the GULAG was headed by Ryzhov, a participant of the conspiracy recruited by men, who was sent to this work on my initiative in order to carry out sabotage assignments. And after his departure for the Commissariat of Forests, the GULAG was headed by the conspirator and spy Zhukovsky, who was connected with me and who was at the same time my assistant. In the summer of 1938 the Central Committee of the Party more than once pointed my attention to the fact that I was surrounded by suspicious people who had come with me to work in the NKVD. In the Central Committee the question of removing Tsesarskii was raised, it was proposed to me that I remove Shapiro, Zhukovsky, and Litvin from the work. That put me on my guard, inasmuch as all these men were my confederates, and that meant that something might be known to the Party about the conspiracy. In order to somehow conceal my anti-government activity I had to agree with the demands of the Central Committee and I decided to send Zhukovskii packing without any fuss, away to the countryside. I carried out this attempt but it did not succeed, since about that time Beria began to work and Zhukovsky, instead of going to the place I had assigned him as director of the Ridder polymetallic combine, was arrested."" __________________ * From this point on the text given in Polianskii here is given in B&S but attributed to Ezhov’s August 2 1939 interrogation. _____________________________ "
ezhov_1939_en_021	ezhov_1939_interrogations	en	21	Ezhov August 4 1939 Confession (published separately)	Ezhov August 4 1939 Confession (published separately) Ezhov August 4 1939 Confession belongs here. _____________________________ 
ezhov_1939_en_022	ezhov_1939_interrogations	en	22	Ezhov ochnaia stavka with Bulatov 09.20.39	"Ezhov ochnaia stavka with Bulatov 09.20.39 Pavliukov 528 – very brief discussion plus the two sentences quoted below. Discussion: ""There were also those who continued to offer resistance [to the investigation – GF]. For example, in the course of the face-to-face confrontation held on September 20 1939 with his former associate in the Central Committee apparatus D.A. Bulatov, the latter rejected all accusations directed against him and left the interrogation unbroken."" _____________________________ "
ezhov_1939_en_023	ezhov_1939_interrogations	en	23	Ezhov interrogation 10.25.39 by Esaulov	"Ezhov interrogation 10.25.39 by Esaulov Polianskii 285; 286-289. ""Listen"", implored Ezhov, ""What kind of spy am I? I have a ‘tail’ behind me at all times, my chauffer or a guard. What kind of a resident could I meet with? And no one recruited me in Germany in 1930. I have been lying a lot. And I lied about Slutsky. I did not give Frinovskii the assignment to poison him, and Alekhin and Zakovskii have nothing to do with it. Slutskii died by himself, from his heart. And lied about everything. You should not lie… … In various documents you stated contradictory and untrue information about yourself. The verification has proven this. Did you do this out of espionage and sabotage motives? Yes. I deliberately distorted my biography. I did this for careerist purposes, to be promoted in the Party. You thought up another biography for yourself not out of careerist, but out of provocateurist motives, in order to deceive the Party, to insinuate yourself into its leadership, and corrupt it from within by means of sabotage and espionage. Was that so? Yes. I did this out of sabotage and prevocational motives in order to struggle against the Party. Now let us move on to an explanation of those facts that you have deliberately distorted. In official documents you lied that you were born in Petrograd. No information about your birth in that city have been found. Where were you born in reality? ... I only know about the place I was born from my mother’s words, from memories of my early childhood. Mother said that I was born in the city of Mariampol, in the former Suval’sk guberniia of Lithuania. Afterwards I went to Petrograd. By means of the facts about my birth in Petrograd I wanted to portray myself in the guise of a deeply-rooted proletarian and old revolutionary. Did you also lie when you said your father was a worker? Yes, I also lied about this for the same reason. Who was your father in reality? My father, Ivan Ezhov, from near Tula by birth, was from a peasant family. Were they well-off? Yes. He served in the army, in a musical unit, as a senior musician in Mariampol. There he also married the servant girl of a choirmaster. What did your father do after demobilization? He was a forester and a switchman on the railroad. In a prerevolutionary Peterburg handbook an Ivan Ezhov is mentioned who was owner of a saloon. Was that your father? For a time my father owned a tea house. We have information that this tea house also served as a front for criminal activities. Is that so? Yes. It was in reality a house of assignation… A bordello. It was a bordello, and my father lived on the proceeds. When they shut down the tea house, he became a painter. Did he hire other workers? I don’t deny that in later years father had one or two hired workers and was something like a contractor. Did you also lie deliberately about working as a mechanic in Petrograd factories? I did this to pretty up my background. I worked very little as a mechanic, my main work was always the trade of tailor. And now tell us what your real nationality is. I have always considered myself a Russian and identify myself as such on official documents. I was born into a Russian peasant family. Aren’t you concealing your real nationality? After all, your mother was from Lithuania. In official documents my nationality is recorded more or less correctly. What does ""more or less"" mean? That means that my mother was born in Lithuania and therefore was a Lithuanian by nationality. In one of your [biographical] forms you wrote that you know both the Lithuanian and the Polish languages. Did your mother teach them to you? No. My mother and father knew Lithuanian, but never spoke it at home. I served in Vitebsk in the Tsarist army, and there were many Poles and Lithuanians. That’s where I learned a few words and sentences. But I do not know how to speak these languages and wrote on the form that I know them for prevocational purposes. The investigation possesses information that you know Yiddish. Why do you conceal this? I do not know Yiddish, if you do not count a few words and expressions that I learned from my acquaintances who were Jews. And here we have information that you often spoke Yiddish with your wife. That is some kind of mistake. I cannot speak Yiddish. Even my wife, in my opinion, knew Yiddish poorly and never spoke it with any Jewish people. _______________________ "
ezhov_1939_en_024	ezhov_1939_interrogations	en	24	Ezhov protocol of end of investigation 02.01.40	"Ezhov protocol of end of investigation 02.01.40 Pavliukov, 529, Polianskii 290, say this was presented by Esaulov. B&S 144-145, and Soima says it was Sergienko. Text identical in Polianskii & Soima; very close to this in B&S. No text in Pavliukov. 1. Was the leader of an anti-Soviet conspiratorial organization in the armed forces and the organs of the NKVD. 2. Betrayed his fatherland by carrying out espionage work in the service of Polish, German, Japanese, and English intelligence services. 3. Toward the goal of seizing power in the USSR prepared an armed uprising and the commission of terrorist acts against leaders of the Party and the government. 4. Undertook subversive, sabotage work in Soviet and Party apparatuses. 5. For adventurist and careerist goals created a case about an imaginary ""mercury"" poisoning of himself, organized the murder of a series of persons who were inconvenient to him and who could have exposed his treasonous work, and had sexual relations with men (homosexuality). __________________ Pavliukov 529: ""The last interrogation took place on January 31 [1940], and on the very next day the assistant chief of the investigative section of the NKVD of the USSR A.A. Esaulov composed a protocol of the conclusion of the investigation. Ezhov was given for his perusal 12 volumes of his criminal case. He read through it and declared that he confirmed all the confessions given by him at the preliminary investigation, and that he had no additions to make."" ____________________________ "
ezhov_1939_en_025	ezhov_1939_interrogations	en	25	Ezhov’s Concluding Statement at Trial (published separately)	"Ezhov’s Concluding Statement at Trial (published separately) A transcript obviously exists, but it is still secret. Transcript of Ezhov’s final words at trial belongs here. _____________________________ The following is from Pavliukov, 531-532: ""Then the protocol concerning the conclusion of the investigation was announced, in which Ezhov had confirmed the truth of his confessions with his own signature. Ezhov stated that at that moment he had not retracted these confessions, but that he was retracting them now. He had no connections with any intelligence services, had not planned any terrorist act on Red Square on November 7 1938, and had never taken part in any conspiratorial activity. It was necessary for the court, setting aside its preliminary intention to do without witnesses, to call into the courtroom one of them, Ezhov’s former assistant M. P. Frinovskii. That same day he too was supposed to appear in court and probably was somewhere nearby. Frinovskii stated that soon after his appointment as Commissar of Internal Affairs Ezhov had recruited him into the conspiratorial organization in the NKVD organized by himself. At first they prevented the exposure of the participants of the Right-Trotskyite bloc as much as possible, and at the end of 1937 they set to the creation of a terrorist group within the NKVD. / 532 / Besides that Frinovskii discussed the falsification, in accordance with Ezhov’s directives, of the so-called mercury poisoning, the murder on Ezhov’s order of the chief of the Foreign Division of the GUGB of the NKVD A. A. Slutsky, and of the poisoning by Ezhov of his own wife. In answer to the questions of the chairman V.V. Ul’rikh Ezhov called everything Frinovskii said to be vicious slander. He did not poison his wife and did not send her luminal, and in relation to Slutskii had had a directive from ""directive organs"" not to arrest him but to get rid of him by another means, ""as otherwise our whole foreign intelligence service would have fled"". The need to get rid of Slutskii was dictated, in Ezhov’s words, by the fact that there were very weighty confessions of the former assistant commissar for internal affairs Ia. S. Agranov. Ezhov continued that he did not take part in the anti-Soviet conspiracy together with Frinovskii. Evdokimov, Dagin, and the other persons whom he had named in his confessions as participants in the conspiracy were in fact not such, or in any case he did not know anything about that."" ______________ Comments on Ezhov’s last words from Briukhanov & Shoshkov, 153: ""Reading ‘the Last word’ it is impossible not to notice that Ezhov said nothing about the essence of the accusations leveled against him. He rejected them all, but spoke mainly about his services in exposing ""enemies and spies of various types and intelligence services"" while stating at the same time he had ""such crimes for which I could be shot"", promising to discuss them, but admitted guilt only in that he ""did not purge enough"" enemies. Ezhov denied his participation in a secret organization directed against the Party and the government, saying that, on the contrary, he had taken all measures to expose the conspirators who had murdered S.M. Kirov. But was there a conspiracy in the organs of the NKVD? Or did those 14 thousand NKVD men whom Ezhov purged act individually – each one on his own? Judging from the transcript [of Ezhov’s trial] such a question was not raised at the trial: Everything was clear to the court as it was. The ""sincere confessions"" in his ""Last word"" did not ring true. Ezhov was careful to avoid any sharp corners. He even distorted the episode that had already figured in the trial of Bukharin, Rykov and the others, concerning the falsification of a terrorist act against himself. As it turned out the ""terrorist act"" was planned and executed – if we can even use that word in this case – by Ezhov and by the former chief of the counter-revolutionary section Nikolaev in order to increase the authority of the ""iron commissar."" Having consulted with specialists about the conditions for mercury poisoning Nikolaev had rubbed mercury into the upholstery of the soft furniture in Ezhov’s office and submitted a piece of cloth for laboratory analysis. In the ""terrorist act"" they blamed NKVD man Savolainen, on whom a vial of mercury was planted. After the necessary ""working over"" Savolainen confessed to everything. And Ezhov’s attempt to deny the accusation about dissolution in his morals and private life, to convince the court that he was supposedly loved for his modesty and honesty. As a whole the ‘Last word’ creates an impression of something not thought through, rambling, incomplete, and dishonest. And yet Ezhov, in essence, had nothing to lose. He could have spoken more frankly."" "
ezhov_1939_ru_001	ezhov_1939_interrogations	ru	1	Ezhov interrog 04.18 – 04.20.39.doc	Ezhov interrog 04.18 – 04.20.39.doc According to Pavliukov, this is the 1st Ezhov confession in his file. QQ 519-520 & n. 481 p. 564. Summarized 520-521. / 519 / «Вопрос: Вы арестованы как изменник партии и враг народа. Следствие располагает достаточными данными, что- / 520 / бы изобличить вас до конца при первой же попытке скрыть свои преступления. Предлагаем вам, не ожидая изобличения, приступить к показаниям о своей черной предательской работе против партии и советской власти. Ответ: Нелегко такому, как я, пользовавшемуся еще недавно доверием партии, признаваться в предательстве и измену. Но сейчас, когда за свои преступления я держу ответ перед следствием, мне хочется быть исчерпывающе откровенным и правдивым. Я не тот, за кого принимала меня партия. Прикрываясь личиной партийности, я многие годы обманывал и двурушничал, вел ожесточенную, скрытую борьбу против партии и советского государства». Summary of other parts of Ezhov’s statement. «Историю своего «грехопадения» Ежов начал с 1921 г., когда, работая в Татарии, под влиянием анархо-синдикалистских идей якобы примкнул к местной группе «рабочей оппозиции». В последующие годы, в период внутрипартийных дискуссий 20-х гг., он также будто бы расходился в своих политических воззрениях с генеральной линией партии. Однако такое глубокое погружение в исторические дебри следователей не заинтересовало, и Ежову не позволили надолго уклониться от основной темы.» Quotation: «Вопрос: К чему этот пространный рассказ о каких-то ваших «политических колебаниях»? Вам, давнишнему агенту иностранных разведок, надлежит показывать о своей прямой шпионской работе. Говорите об этом! Ответ: Хорошо, перехожу непосредственно к моменту завязывания моих шпионских связей». Summary continues: «В шпионскую работу, сообщил Ежов, он был вовлечен своим приятелем Ф.М. Конаром, оказавшимся давним польским агентом. Узнавая от Ежова разные политические новости, он передавал их своим хозяевам в Польшу и однажды рассказал об этом Ежову, предложив начать работать на поляков добровольно. Поскольку Ежов фактически уже стал информатором польской разведки, выдав через Конара много важных партийных и государственных тайн, ему ничего будто бы не оставалось, как согласиться на это предложение. Частью полученных от Ежова сведений поляки якобы делились со своими союзниками немцами, так что некоторое время спустя со стороны последних также поступило предложение о сотрудничестве. В роли посредника выступил, по словам Ежова, первый заместитель наркома обороны СССР маршал А.И. Егоров. Летом 1937 г., встретившись с Ежовым, он сообшил, что знает о его связях с поляками, что сам является немецким шпионом, организовавшим по заданию немецких властей группу заговорщиков в Красной Армии, и что им получено указание установить тесный рабочий контакт между его группой и Ежовым. Ежов с этим предложением согласился и пообещал оберегать людей Егорова от ареста.» ______________________________ 
ezhov_1939_ru_002	ezhov_1939_interrogations	ru	2	Ezhov interrog 04.23.39 (04.24.39).doc	Ezhov interrog 04.23.39 (04.24.39).doc Quotes are same as beginning and end of Ezhov conf. dated April 24, 1939 in Petrov & Iansen, 365-6 and Pavliukov, 522-523. Pavliukov says 10 pages in length. P&Ia cite same archive, different location, 4 pages in length. Pavliukov – no sign this confession was forced, or even asked about this (522). Petrov & Iansen, 365-6: «Считаю необходимым довести до сведения следственных органов ряд новых фактов характеризующих мое морально бытовое разложение. Речь идет о моем давнем пороке – педерастии. Начало этому было положено еще в ранней юности, когда я жил в учении у портного. Примерно лет с 15 до 16 у меня было несколько случаев извращенных половых актов с моими сверстниками учениками той же портновской мастерской. Порок этот возобновился в старой царской армии во фронтовой обстановке. Помимо одной случайной связи с одним из солдат нашей роты у меня была связь с неким Филатовым, моим приятелем по Ленинграду с которым мы служили в одном полку. Связь было взаимноактивная, то есть «женщиной» было то одна, то другая сторона. Впоследствии Филатов был убит на фронте. В 1919 г. я был назначен комиссаром 2 базы радиотелеграфных формирований. Секретарем у меня был некий Антошин. Знаю, что в / 366 / 1937 г. он был еще в Москве и работал где-то в качестве начальника радиостанции. Сам он инженер-радиотехник. С этим самым Антошиным у меня в 1919 г. было педерастическая связь взаимноактивная. В 1924 г. я работал в Семипалатинске. Вместе со мной туда поехал мой давний приятель Дементьев. С ним у меня также были в 1924 г. несколько случаев педерастии активной только с моей стороны. В 1925 г. в городе Оренбурге я установил педерастическую связь с неким Боярским, тогда председателем Казахского облпрофсовета. Сейчас он, насколько я знаю, работает директором художественного театра в Москве. Связь была взаимноактивная. Тогда он и я только приехали в Оренбург, жили в одной гостинице. Связь было короткой, до приезда его жены, которая вскоре приехала. В том же 1925 г. состоялся перевод столицы Казахстана из Оренбурга в Кзыл-Орду, куда на работу выехал и я. Вскоре туда приехал секретарем крайкома Голощекин Ф.И. (сейчас работает Главарбитром). Приехал он холостяком, без жены, я тоже жил на холостяцком положении. До своего отъезда в Москву (около 2-х месяцев) я факитчески переселился к нему на кваритру и там часто ночевал. С ним у меня также вскоре установилась педерастическая связь, которая периодически продолжалась до моего отъезда. Связь с ним была, как и предыдущие взаимноактивная. В 1938 г. были два случая педерастической связи с Дементьевым, с которым я эту связь имел, как говорил выше, еще в 1924 г. Связь была в Москве осенью 1938 г. у меня на квартире уже после снятия меня с поста Наркомвнудела. Дементьев жил у меня тогда около двух месяцев. Несколько позже, тоже в 1938 г. были два случая педерастии между мной и Константиновым. С Константиновым я знаком с 1918 г. по армии. Работал он со мной до 1921 г. После 1921 г. мы почти не встречались. В 1938 г. он по моему приглашению стал часто бывать у меня на квартире и два или три раза был на даче. Приходил два раза с женой, остальные посещения были без жен. Оставался часто у меня ночевать. Как я сказал выше, тогда же у меня с ним были два случая педерастии. Связь было взаимноактивная. Следует еще сказать, что в одно из его посещений моей квартиры вместе с женой я и с ней имел половые сношения. Все это сопровождалось как правило пьянкой. Даю эти сведения следственным органам как дополнительный штрих характеризующий мое морально-бытовое разложение. 24 апреля 1939 г. Н. Ежов. _______________________________ 
ezhov_1939_ru_003	ezhov_1939_interrogations	ru	3	Ezhov’s April 26 1939 confession belongs here	Ezhov’s April 26 1939 confession belongs here _______________________________ 
ezhov_1939_ru_004	ezhov_1939_interrogations	ru	4	Ezhov interrog 04.30.39.doc	Ezhov interrog 04.30.39.doc 
ezhov_1939_ru_005	ezhov_1939_interrogations	ru	5	Ezhov interrog, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrog on 525-6.	Ezhov interrog, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrog on 525-6. Acc. to Pavliukov 526, Ezhov named 66 names of fellow conspirators in this one interrogation. Summary: «Завершился первый этап следствия 30 апреля 1939 года. В ходе состоявшегося в тот день допроса Ежов рассказал о технологии вовлечения в антисоветский заговор своих подчиненных – чекистов и об основных направлениях вредительской работы, проводившейся в НКВД. Вредительство это заключалось в массовых необоснованных арестах, фальсификации материалов следствия, подлогах и расправах с неугодными элементами.» Quotation: «Все это проводилось в расчете на то, чтобы вызвать известое недовольство среди населения / 526 / в отношении руководства ВКП(б) и советского правительства и таким образом создать наиболее благприятную базу для осуществления наших заговорщицких замыслов». ____________________ 
