repo	command	commit	date	subject	path_hint	relevance
showtrials-discovery	git log --all --name-status --date=iso	0a9c533dca4a19362ed7c13e273d93c32e31a9bb	2026-06-12 01:15:09 -0300	refactor: normalize paths for semantic process layer	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/e-semantic-layer/build-showtrials-positions.py; scripts/e-semantic-layer/build-showtrials-process-layer.py; scripts/e-semantic-layer/build-showtrials-process-profiles.py; scripts/e-semantic-layer/build-showtrials-roles-v2.py; scripts/e-semantic-layer/validate-showtrials-process-layer.py; scripts/e-semantic-layer/validate-showtrials-process-profiles.py; scripts/e-semantic-layer/validate-showtrials-roles-v2.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	3834acc759333d50592f7100da60a60d4062ff53	2026-06-12 01:05:22 -0300	refactor: normalize paths for semantic organization layer	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/e-semantic-layer/build-showtrials-organization-families.py; scripts/e-semantic-layer/build-showtrials-organization-family-document-matrix.py; scripts/e-semantic-layer/build-showtrials-organization-hierarchy.py; scripts/e-semantic-layer/build-showtrials-organization-index.py; scripts/e-semantic-layer/showtrials-family-stats.py; scripts/e-semantic-layer/validate-showtrials-organization-families.py; scripts/e-semantic-layer/validate-showtrials-organization-hierarchy.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	8a4f6ef91b414b82ce28d2973a7966a1119d6122	2026-06-12 00:56:20 -0300	refactor: normalize paths for semantic people foundation	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/e-semantic-layer/build-showtrials-canonical-people.py; scripts/e-semantic-layer/build-showtrials-literal-people-index.py; scripts/e-semantic-layer/build-showtrials-people-index.py; scripts/e-semantic-layer/diagnose-showtrials-person-aliases.py; scripts/e-semantic-layer/diagnose-showtrials-person-normalization.py; scripts/e-semantic-layer/diagnose-showtrials-truncated-persons.py; scripts/e-semantic-layer/diagnose-showtrials-unmerged-persons.py; scripts/e-semantic-layer/review-showtrials-person-aliases.py; scripts/e-semantic-layer/review-showtrials-truncated-persons.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	cd6995a65c5ca6ba8bdff1ba059cb8a6f540b3f2	2026-06-12 00:35:51 -0300	refactor: normalize paths for extraction scripts	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/a-extraction/showtrials-audit.py; scripts/a-extraction/showtrials-stats.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	541577cc2a8e18b17fe090092a34be5b11b4185f	2026-06-12 00:27:50 -0300	refactor: normalize paths for glossary scripts	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/g-glossary/build-showtrials-translation-glossary-seeds-v1.py; scripts/g-glossary/canonicalize-showtrials-translation-glossary-g4.py; scripts/g-glossary/canonicalize-showtrials-translation-glossary-v1.py; scripts/g-glossary/diagnose-showtrials-translation-glossary-freeze-readiness.py; scripts/g-glossary/enrich-showtrials-translation-glossary-g3.py; scripts/g-glossary/finalize-showtrials-translation-glossary-g4-1.py; scripts/g-glossary/validate-showtrials-translation-glossary-g3.py; scripts/g-glossary/validate-showtrials-translation-glossary-g4-1.py; scripts/g-glossary/validate-showtrials-translation-glossary-seeds-v1.py; scripts/g-glossary/validate-showtrials-translation-glossary-v1.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	32823f9c4c4d993e45c29f581167e063e9f7e2f3	2026-06-12 00:16:31 -0300	refactor: normalize paths for translation planning scripts	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/lib/showtrials_paths.py; scripts/t-translation-planning/plan-showtrials-translation-profiles-v1.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	e4019c092ffb6a1e61caea65852bae1a478fce60	2026-06-12 00:07:49 -0300	refactor: normalize paths for translation planning scripts	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/lib/showtrials_paths.py; scripts/t-translation-planning/diagnose-showtrials-translation-cost.py; scripts/t-translation-planning/plan-showtrials-translation-profiles-v1.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	ef7e39c5158000bb0304224119bdb7d206efabfd	2026-06-11 23:57:49 -0300	refactor: normalize paths for catalog taxonomy auxiliary scripts	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/c-catalog-taxonomy/compare-showtrials-document-types-v1-v2.py; scripts/c-catalog-taxonomy/compare-showtrials-document-types-v2-v3.py; scripts/c-catalog-taxonomy/compare-showtrials-document-types-v3-v4.py; scripts/c-catalog-taxonomy/diagnose-showtrials-author-audit.py; scripts/c-catalog-taxonomy/diagnose-showtrials-category-tree.py; scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-inventory.py; scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-statistics.py; scripts/c-catalog-taxonomy/diagnose-showtrials-date-audit.py; scripts/c-catalog-taxonomy/diagnose-showtrials-document-collections.py; scripts/c-catalog-taxonomy/diagnose-showtrials-page-hierarchy.py; scripts/c-catalog-taxonomy/diagnose-showtrials-page-links.py; scripts/c-catalog-taxonomy/diagnose-showtrials-post-metadata.py; scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy-terms.py; scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy.py; scripts/c-catalog-taxonomy/diagnose-showtrials-text-cleanliness.py; scripts/c-catalog-taxonomy/showtrials-timeline.py; scripts/c-catalog-taxonomy/validate-showtrials-search-v2.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	29b048ca85df4289f562769234c3224f70c95ec2	2026-06-11 23:41:43 -0300	refactor: normalize paths for catalog taxonomy foundation	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/c-catalog-taxonomy/diagnose-showtrials-document-index.py; scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v2.py; scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v3.py; scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v4.py; scripts/c-catalog-taxonomy/diagnose-showtrials-document-types.py; scripts/c-catalog-taxonomy/diagnose-showtrials-master-catalog.py; scripts/c-catalog-taxonomy/validate-showtrials-document-types-v2.py; scripts/c-catalog-taxonomy/validate-showtrials-document-types-v3.py; scripts/c-catalog-taxonomy/validate-showtrials-document-types-v4.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	d3cba0faa31de6a87450f0050cdb581c036fe313	2026-06-11 23:27:31 -0300	refactor: normalize paths for JSON export and search	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/b-json-export-search/diagnose-showtrials-search-corpus.py; scripts/b-json-export-search/search-showtrials.py; scripts/b-json-export-search/showtrials-doc.py; scripts/b-json-export-search/showtrials-export-texts.py; scripts/b-json-export-search/showtrials-search-v2.py; scripts/b-json-export-search/showtrials-search.py; scripts/lib/showtrials_paths.py; scripts/r-governance/diagnose-showtrials-path-normalization-readiness.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	5e303d3adbc8b75c9fb7e9d8cad95a71275c88fc	2026-06-11 17:36:56 -0300	diagnose: add path normalization readiness audit	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/lib/showtrials_paths.py; scripts/r-governance/diagnose-showtrials-path-normalization-readiness.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	fef484482603aa5c192453a2e9b004fddf50aade	2026-06-11 16:40:12 -0300	diagnose: audit script path dependencies after reorganization	data/r-governance/path-audit/showtrials_path_dependencies.tsv; data/r-governance/path-audit/showtrials_runtime_breakage.tsv; reports/r-governance/path-audit/showtrials_path_audit_report.txt	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	654eaf88469069bc747636f359c2d2ee7336b1d5	2026-06-11 09:23:12 -0300	reorg: structure repository artifacts by methodological phase	data/b-json-export-search/showtrials_search_v2_validation.tsv; data/b-json-export-search/showtrials_users.json; data/c-catalog-taxonomy/showtrials-pages-inventory.tsv; data/c-catalog-taxonomy/showtrials-posts-inventory.tsv; data/c-catalog-taxonomy/showtrials_author_audit.tsv; data/c-catalog-taxonomy/showtrials_categories.json; data/c-catalog-taxonomy/showtrials_category_tree.tsv; data/c-catalog-taxonomy/showtrials_collection_inventory.tsv; data/c-catalog-taxonomy/showtrials_corpus_audit_documents.tsv; data/c-catalog-taxonomy/showtrials_corpus_audit_summary.tsv; data/c-catalog-taxonomy/showtrials_corpus_largest_documents.tsv; data/c-catalog-taxonomy/showtrials_corpus_smallest_documents.tsv; data/c-catalog-taxonomy/showtrials_corpus_statistics_by_collection.tsv; data/c-catalog-taxonomy/showtrials_corpus_statistics_by_tag.tsv; data/c-catalog-taxonomy/showtrials_corpus_statistics_overview.tsv; data/c-catalog-taxonomy/showtrials_date_outliers.tsv; data/c-catalog-taxonomy/showtrials_dates_by_month.tsv; data/c-catalog-taxonomy/showtrials_dates_by_year.tsv; data/c-catalog-taxonomy/showtrials_document_collections.tsv; data/c-catalog-taxonomy/showtrials_document_index.tsv; data/c-catalog-taxonomy/showtrials_document_type_summary.tsv; data/c-catalog-taxonomy/showtrials_document_type_summary_v2.tsv; data/c-catalog-taxonomy/showtrials_document_type_summary_v3.tsv; data/c-catalog-taxonomy/showtrials_document_type_summary_v4.tsv; data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v2.tsv; data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v3.tsv; data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v4.tsv; data/c-catalog-taxonomy/showtrials_document_type_v1_v2_changes.tsv; data/c-catalog-taxonomy/showtrials_document_type_v2_v3_changes.tsv; data/c-catalog-taxonomy/showtrials_document_type_v3_v4_changes.tsv	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	c334331e3063e94665cb48a45a608b3fff7c7d15	2026-06-10 08:03:52 -0300	docs: add ShowTrials discovery documentation		matched_subject_or_path
russian-archives-discovery	git status --short			"M data/catalog/discovery.tsv
 M reports/catalog_diagnosis.md
 M reports/safarov_external_discovery.md"		status
russian-archives-discovery	git tag --list					no_matching_tags
russian-archives-discovery	git log --all --name-status --date=iso	80b3a198bb16cce9b02a1b2a4aae267ea0cff66f	2026-06-21 00:00:21 -0300	Create Russian archives discovery baseline	data/catalog/showtrials_baseline.tsv; russian_archives_discovery/showtrials.py; scripts/ingest_showtrials_local.py	matched_subject_or_path
