raw_person	canonical_person	decision	confidence	reason	notes
А.В. Лугового-	А.В. Луговой-Левенштейн	approve	reviewed	truncated_name_review	approved truncated name alias
В.Н. Цатуровой-	В.Н. Цатурова-Большакова	approve	reviewed	truncated_name_review	approved truncated name alias
Е.М. Манюрина-	Е.М. Манюрин-Броварский	approve	reviewed	truncated_name_review	approved truncated name alias
И.М. Бык-	И.М. Бык-Бек	approve	reviewed	truncated_name_review	approved truncated name alias
К.Б. Бермана-	К.Б. Берман-Юрин	approve	reviewed	truncated_name_review	approved truncated name alias
Л.С. Мамишвили-	Л.С. Мамишвили-Мишкевич	approve	reviewed	known_truncated_compound_name	derived from document title
Л.С. Тер-	Л.С. Тер-Минасов	approve	reviewed	known_truncated_compound_name	derived from document title
С.М. Закса-	С.М. Закс-Гладнев	approve	reviewed	known_truncated_compound_name	derived from document title
Я.Я. Упмал-	Я.Я. Упмал-Ангарский	approve	reviewed	known_truncated_compound_name	derived from document title
А.А. Гардина-	А.А. Гардин-Гейер	approve	reviewed	known_truncated_compound_name	derived from document title
А.И. Рамм-	А.И. Рамм-Пфемферт	approve	reviewed	known_truncated_compound_name	derived from document title
В.А. Антонова-	В.А. Антонов-Овсеенко	approve	reviewed	known_truncated_compound_name	derived from document title
В.П. Шевелева-	В.П. Шевелев-Лубков	approve	reviewed	known_truncated_compound_name	derived from document title
В.Я. Головским-	В.Я. Головский-Голощапов	approve	reviewed	known_truncated_compound_name	derived from document title
Е.Ф. Тойво-	Е.Ф. Тойво-Пешина	approve	reviewed	known_truncated_compound_name	derived from document title
И.В. Вардина-	И.В. Вардин-Мгеладзе	approve	reviewed	known_truncated_compound_name	derived from document title
И.М. Орловской-	И.М. Орловская-Мрачковская	approve	reviewed	known_truncated_compound_name	derived from document title
М.М. Оскольского-	М.М. Оскольский-Финкельштейн	approve	reviewed	known_truncated_compound_name	derived from document title
М.С. Жалыбиной-	М.С. Жалыбина-Быкова	approve	reviewed	known_truncated_compound_name	derived from document title
