person	role	role_class	document_count	person_total_documents	share_of_person_documents
Дмитриев	член	generic_membership	14	17	0.8235
Ежов	адвокат	office_position	14	466	0.03
Ежов	наркомвнудел	office_position	14	466	0.03
Рыков	член	generic_membership	14	18	0.7778
Сокольников	секретарь	office_position	14	18	0.7778
Сокольников	правый	political_label	14	18	0.7778
Членов	член	generic_membership	14	14	1.0
Бухарин	кандидат	generic_membership	13	73	0.1781
Бухарин	следователь	office_position	13	73	0.1781
В.А. Балицкого	троцкист	political_label	13	13	1.0
Дмитриев	троцкист	political_label	13	17	0.7647
Ежов	корреспондент	office_position	13	466	0.0279
Каменев	троцкист	political_label	13	26	0.5
Н.А. Розенфельд	член	generic_membership	13	16	0.8125
Н.А. Розенфельд	троцкист	political_label	13	16	0.8125
Пятаков	правый	political_label	13	22	0.5909
Седов	член	generic_membership	13	78	0.1667
Сокольников	нарком	office_position	13	18	0.7222
Агранов	председатель	office_position	12	74	0.1622
Бухарин	начальник	office_position	12	73	0.1644
Бухарин	председатель	office_position	12	73	0.1644
И.П. Бакаева	член	generic_membership	12	13	0.9231
Каменев	секретарь	office_position	12	26	0.4615
Л.В. Николаева	член	generic_membership	12	43	0.2791
Л.В. Николаева	секретарь	office_position	12	43	0.2791
Л.Д. Троцкий	член	generic_membership	12	28	0.4286
Ольберг	правый	political_label	12	94	0.1277
Рыков	нарком	office_position	12	18	0.6667
Сокольников	член	generic_membership	12	18	0.6667
Сокольников	комиссар	office_position	12	18	0.6667
Сталин	наркомвнудел	office_position	12	520	0.0231
Бухарин	подсудимый	trial_role	11	73	0.1507
Г.Г. Ягода	редактор	office_position	11	158	0.0696
Г.Г. Ягода	следователь	office_position	11	158	0.0696
Г.Е. Прокофьева	начальник	office_position	11	33	0.3333
Зиновьев	нарком	office_position	11	50	0.22
И.И. Рейнгольда	член	generic_membership	11	11	1.0
И.С. Горшенина	член	generic_membership	11	12	0.9167
Каменев	правый	political_label	11	26	0.4231
М.К. Чернявского	троцкист	political_label	11	11	1.0
Ольберг	секретарь	office_position	11	94	0.117
Радек	руководитель	office_position	11	25	0.44
Сталин	корреспондент	office_position	11	520	0.0212
Сталин	подсудимый	trial_role	11	520	0.0212
Бухарин	представитель	generic_representative	10	73	0.137
Г.Е. Прокофьева	директор	office_position	10	33	0.303
Г.И. Сафарова	представитель	generic_representative	10	32	0.3125
Дмитриев	начальник	office_position	10	17	0.5882
Е.В. Цетлина	член	generic_membership	10	20	0.5
Е.В. Цетлина	правый	political_label	10	20	0.5
И.И. Рейнгольда	троцкист	political_label	10	11	0.9091
Л.В. Николаева	наркомвнудел	office_position	10	43	0.2326
М.К. Чернявского	член	generic_membership	10	11	0.9091
Н.А. Розенфельд	сотрудник	generic_staff	10	16	0.625
Н.В. Голубенко	троцкист	political_label	10	11	0.9091
Ольберг	комиссар	office_position	10	94	0.1064
Пятаков	начальник	office_position	10	22	0.4545
Радек	комиссар	office_position	10	25	0.4
Рыков	председатель	office_position	10	18	0.5556
А.И. Анишева	член	generic_membership	9	12	0.75
А.Я. Вышинский	троцкист	political_label	9	10	0.9
Бухарин	адвокат	office_position	9	73	0.1233
Бухарин	прокурор	office_position	9	73	0.1233
Бухарин	редактор	office_position	9	73	0.1233
Бухарин	свидетель	trial_role	9	73	0.1233
В.А. Балицкого	член	generic_membership	9	13	0.6923
В.А. Барута	сотрудник	generic_staff	9	9	1.0
Г.Е. Евдокимова	троцкист	political_label	9	14	0.6429
Г.Е. Прокофьева	нарком	office_position	9	33	0.2727
Г.И. Сафарова	правый	political_label	9	32	0.2812
Дмитриев	секретарь	office_position	9	17	0.5294
Зиновьев	кандидат	generic_membership	9	50	0.18
Зиновьев	представитель	generic_representative	9	50	0.18
И.И. Рейнгольда	нарком	office_position	9	11	0.8182
Л.М. Каганович	секретарь	office_position	9	11	0.8182
М.А. Нырчука	руководитель	office_position	9	9	1.0
М.А. Нырчука	троцкист	political_label	9	9	1.0
Пятаков	представитель	generic_representative	9	22	0.4091
Радек	сотрудник	generic_staff	9	25	0.36
Радек	редактор	office_position	9	25	0.36
Рыков	секретарь	office_position	9	18	0.5
Смирнов	троцкист	political_label	9	10	0.9
Сокольников	представитель	generic_representative	9	18	0.5
А.М. Гертика	член	generic_membership	8	11	0.7273
Агранов	агент	accusatory_or_intelligence_label	8	74	0.1081
Астров	правый	political_label	8	8	1.0
Б.Н. Сахова	член	generic_membership	8	9	0.8889
В.А. Балицкого	секретарь	office_position	8	13	0.6154
В.И. Звездова	член	generic_membership	8	9	0.8889
Г.Е. Евдокимова	член	generic_membership	8	14	0.5714
Г.Е. Прокофьева	сотрудник	generic_staff	8	33	0.2424
Г.Ф. Попова	член	generic_membership	8	12	0.6667
Дмитриев	комиссар	office_position	8	17	0.4706
Е.В. Цетлина	секретарь	office_position	8	20	0.4
Зиновьев	агент	accusatory_or_intelligence_label	8	50	0.16
Зиновьев	заместитель	office_position	8	50	0.16
Зиновьев	обвиняемый	trial_role	8	50	0.16
И.И. Рейнгольда	комиссар	office_position	8	11	0.7273
И.И. Рейнгольда	секретарь	office_position	8	11	0.7273
И.П. Бакаева	троцкист	political_label	8	13	0.6154
Каменев	комиссар	office_position	8	26	0.3077
Л.В. Николаева	сотрудник	generic_staff	8	43	0.186
Л.М. Каганович	член	generic_membership	8	11	0.7273
Л.М. Каганович	троцкист	political_label	8	11	0.7273
М.А. Нырчука	член	generic_membership	8	9	0.8889
М.А. Нырчука	сотрудник	generic_staff	8	9	0.8889
Н.В. Голубенко	член	generic_membership	8	11	0.7273
Н.И. Мухина	сотрудник	generic_staff	8	8	1.0
Н.И. Мухина	троцкист	political_label	8	8	1.0
Н.И. Мухина	обвиняемый	trial_role	8	8	1.0
Ольберг	агент	accusatory_or_intelligence_label	8	94	0.0851
Ольберг	сотрудник	generic_staff	8	94	0.0851
Ольберг	директор	office_position	8	94	0.0851
Радек	представитель	generic_representative	8	25	0.32
Рыков	кандидат	generic_membership	8	18	0.4444
Членов	нарком	office_position	8	14	0.5714
А.С. Енукидзе	секретарь	office_position	7	8	0.875
А.Я. Вышинский	прокурор	office_position	7	10	0.7
Агранов	кандидат	generic_membership	7	74	0.0946
Агранов	обвиняемый	trial_role	7	74	0.0946
Астров	троцкист	political_label	7	8	0.875
Бухарин	заместитель	office_position	7	73	0.0959
Бухарин	комиссар	office_position	7	73	0.0959
В.А. Балицкого	комиссар	office_position	7	13	0.5385
В.В. Кузьмина	правый	political_label	7	7	1.0
В.В. Румянцева	троцкист	political_label	7	12	0.5833
В.М. Попова	член	generic_membership	7	7	1.0
В.М. Попова	троцкист	political_label	7	7	1.0
В.Ф. Логинова	троцкист	political_label	7	7	1.0
Г.А. Молчанова	член	generic_membership	7	8	0.875
Г.Г. Ягода	корреспондент	office_position	7	158	0.0443
Г.Г. Ягода	полпред	office_position	7	158	0.0443
Г.Г. Ягода	прокурор	office_position	7	158	0.0443
Г.И. Сафарова	член	generic_membership	7	32	0.2188
Г.И. Сафарова	нарком	office_position	7	32	0.2188
Дмитриев	директор	office_position	7	17	0.4118
Е.А. Дрейцера	комиссар	office_position	7	7	1.0
Е.А. Дрейцера	троцкист	political_label	7	7	1.0
Е.В. Цетлина	следователь	office_position	7	20	0.35
Зиновьев	начальник	office_position	7	50	0.14
Зиновьев	председатель	office_position	7	50	0.14
И.А. Мусульбаса	член	generic_membership	7	7	1.0
И.А. Мусульбаса	комиссар	office_position	7	7	1.0
И.А. Мусульбаса	руководитель	office_position	7	7	1.0
И.А. Мусульбаса	секретарь	office_position	7	7	1.0
И.А. Мусульбаса	троцкист	political_label	7	7	1.0
И.И. Котолынова	член	generic_membership	7	13	0.5385
И.И. Рейнгольда	руководитель	office_position	7	11	0.6364
И.П. Бакаева	правый	political_label	7	13	0.5385
Каменев	руководитель	office_position	7	26	0.2692
Л.В. Николаева	троцкист	political_label	7	43	0.1628
М.Н. Яковлева	руководитель	office_position	7	9	0.7778
Н.А. Розенфельд	секретарь	office_position	7	16	0.4375
Н.В. Голубенко	комиссар	office_position	7	11	0.6364
Н.В. Голубенко	секретарь	office_position	7	11	0.6364
Ольберг	представитель	generic_representative	7	94	0.0745
Ольберг	руководитель	office_position	7	94	0.0745
Радек	посол	office_position	7	25	0.28
Рыков	комиссар	office_position	7	18	0.3889
Рыков	следователь	office_position	7	18	0.3889
Рыков	подсудимый	trial_role	7	18	0.3889
С.В. Мрачковский	комиссар	office_position	7	8	0.875
С.В. Мрачковский	троцкист	political_label	7	8	0.875
А.С. Енукидзе	член	generic_membership	6	8	0.75
А.Ф. Шараповой	член	generic_membership	6	6	1.0
Астров	член	generic_membership	6	8	0.75
Б.Н. Сахова	троцкист	political_label	6	9	0.6667
Бухарин	вредитель	accusatory_label	6	73	0.0822
Бухарин	сотрудник	generic_staff	6	73	0.0822
Бухарин	наркомвнудел	office_position	6	73	0.0822
В.А. Балицкого	руководитель	office_position	6	13	0.4615
В.В. Глухенко	член	generic_membership	6	6	1.0
В.В. Глухенко	председатель	office_position	6	6	1.0
В.В. Глухенко	судья	office_position	6	6	1.0
В.В. Глухенко	троцкист	political_label	6	6	1.0
В.В. Кузьмина	член	generic_membership	6	7	0.8571
В.В. Румянцева	член	generic_membership	6	12	0.5
В.Ф. Логинова	секретарь	office_position	6	7	0.8571
Г.А. Молчанова	правый	political_label	6	8	0.75
Г.Б. Синани-Скалов	член	generic_membership	6	12	0.5
Г.Б. Синани-Скалов	секретарь	office_position	6	12	0.5
Г.Б. Синани-Скалов	троцкист	political_label	6	12	0.5
Г.Г. Ягода	посол	office_position	6	158	0.038
Г.Е. Прокофьева	обвиняемый	trial_role	6	33	0.1818
Г.И. Сафарова	секретарь	office_position	6	32	0.1875
Д.А. Шмидта	комиссар	office_position	6	6	1.0
Д.А. Шмидта	троцкист	political_label	6	6	1.0
Е.К. Мухановой	член	generic_membership	6	13	0.4615
Е.К. Мухановой	сотрудник	generic_staff	6	13	0.4615
Е.К. Мухановой	секретарь	office_position	6	13	0.4615
Е.Ф. Куликова	член	generic_membership	6	6	1.0
Е.Ф. Куликова	комиссар	office_position	6	6	1.0
Е.Ф. Куликова	секретарь	office_position	6	6	1.0
Е.Ф. Куликова	правый	political_label	6	6	1.0
И.А. Мусульбаса	директор	office_position	6	7	0.8571
И.И. Рейнгольда	заместитель	office_position	6	11	0.5455
И.И. Рейнгольда	начальник	office_position	6	11	0.5455
И.И. Рейнгольда	правый	political_label	6	11	0.5455
И.М. Гуревича	член	generic_membership	6	6	1.0
И.М. Гуревича	троцкист	political_label	6	6	1.0
И.П. Бакаева	комиссар	office_position	6	13	0.4615
М.М. Киллерога	член	generic_membership	6	6	1.0
М.М. Киллерога	нарком	office_position	6	6	1.0
М.М. Киллерога	начальник	office_position	6	6	1.0
М.М. Киллерога	троцкист	political_label	6	6	1.0
М.Н. Яковлева	член	generic_membership	6	9	0.6667
М.Н. Яковлева	троцкист	political_label	6	9	0.6667
М.Ф. Шкирятову	член	generic_membership	6	8	0.75
М.Ф. Шкирятову	секретарь	office_position	6	8	0.75
Н.А. Розенфельд	комиссар	office_position	6	16	0.375
Н.А. Угланова	член	generic_membership	6	6	1.0
Н.В. Голубенко	нарком	office_position	6	11	0.5455
Н.П. Мясникова	член	generic_membership	6	7	0.8571
Н.С. Антонова	член	generic_membership	6	10	0.6
Ольберг	свидетель	trial_role	6	94	0.0638
Пятаков	заместитель	office_position	6	22	0.2727
Пятаков	руководитель	office_position	6	22	0.2727
Радек	нарком	office_position	6	25	0.24
Рыков	вредитель	accusatory_label	6	18	0.3333
Рыков	агент	accusatory_or_intelligence_label	6	18	0.3333
Рыков	представитель	generic_representative	6	18	0.3333
Рыков	начальник	office_position	6	18	0.3333
Рыков	руководитель	office_position	6	18	0.3333
С.В. Мрачковский	член	generic_membership	6	8	0.75
С.В. Мрачковский	секретарь	office_position	6	8	0.75
Седов	троцкист	political_label	6	78	0.0769
Сокольников	кандидат	generic_membership	6	18	0.3333
Т.И. Глебовой	член	generic_membership	6	9	0.6667
Т.И. Глебовой	троцкист	political_label	6	9	0.6667
Ф.Ф. Фадеева	член	generic_membership	6	7	0.8571
Членов	секретарь	office_position	6	14	0.4286
А.А. Шестова	член	generic_membership	5	5	1.0
А.А. Шестова	троцкист	political_label	5	5	1.0
А.И. Анишева	троцкист	political_label	5	12	0.4167
А.Н. Сафоновой	троцкист	political_label	5	5	1.0
А.Н. Слепкова	член	generic_membership	5	5	1.0
А.Ю. Тивеля	троцкист	political_label	5	5	1.0
А.Я. Вышинский	правый	political_label	5	10	0.5
Агранов	представитель	generic_representative	5	74	0.0676
Бухарин	посол	office_position	5	73	0.0685
В.А. Яковлева	член	generic_membership	5	5	1.0
В.А. Яковлева	комиссар	office_position	5	5	1.0
В.А. Яковлева	секретарь	office_position	5	5	1.0
В.А. Яковлева	правый	political_label	5	5	1.0
В.В. Кузьмина	секретарь	office_position	5	7	0.7143
В.В. Кузьмина	троцкист	political_label	5	7	0.7143
В.И. Козырева	член	generic_membership	5	5	1.0
В.Ф. Логинова	член	generic_membership	5	7	0.7143
В.Ф. Логинова	комиссар	office_position	5	7	0.7143
Г.А. Молчанова	секретарь	office_position	5	8	0.625
Г.А. Молчанова	троцкист	political_label	5	8	0.625
Г.Б. Синани-Скалов	комиссар	office_position	5	12	0.4167
Г.Г. Ягода	адвокат	office_position	5	158	0.0316
Г.Г. Ягода	свидетель	trial_role	5	158	0.0316
Г.Е. Евдокимова	нарком	office_position	5	14	0.3571
Г.Е. Прокофьева	агент	accusatory_or_intelligence_label	5	33	0.1515
Г.Е. Прокофьева	правый	political_label	5	33	0.1515
Г.М. Аркуса	секретарь	office_position	5	6	0.8333
Г.Ф. Попова	троцкист	political_label	5	12	0.4167
Г.Ф. Федорова	член	generic_membership	5	8	0.625
Д.А. Шмидта	секретарь	office_position	5	6	0.8333
Д.Н. Ширяева	член	generic_membership	5	6	0.8333
Е.А. Дрейцера	член	generic_membership	5	7	0.7143
Е.А. Дрейцера	секретарь	office_position	5	7	0.7143
Е.К. Мухановой	директор	office_position	5	13	0.3846
Е.К. Мухановой	редактор	office_position	5	13	0.3846
Е.К. Мухановой	троцкист	political_label	5	13	0.3846
И.И. Котолынова	руководитель	office_position	5	13	0.3846
И.И. Тарасова	член	generic_membership	5	8	0.625
И.И. Тарасова	троцкист	political_label	5	8	0.625
И.П. Бакаева	секретарь	office_position	5	13	0.3846
И.С. Горшенина	троцкист	political_label	5	12	0.4167
И.С. Горшениным	обвиняемый	trial_role	5	5	1.0
К.К. Муханова	сотрудник	generic_staff	5	9	0.5556
Каменев	председатель	office_position	5	26	0.1923
Каменев	обвиняемый	trial_role	5	26	0.1923
Л.В. Николаева	руководитель	office_position	5	43	0.1163
Л.Д. Троцкий	троцкист	political_label	5	28	0.1786
Л.З. Мехлиса	редактор	office_position	5	6	0.8333
Л.З. Мехлиса	секретарь	office_position	5	6	0.8333
Л.С. Сосновского	член	generic_membership	5	5	1.0
Л.Ф. Дитятевой	комиссар	office_position	5	5	1.0
Л.Ф. Дитятевой	секретарь	office_position	5	5	1.0
Л.Ф. Дитятевой	троцкист	political_label	5	5	1.0
М.В. Королькова	член	generic_membership	5	7	0.7143
М.К. Чернявского	комиссар	office_position	5	11	0.4545
М.К. Чернявского	нарком	office_position	5	11	0.4545
М.К. Чернявского	начальник	office_position	5	11	0.4545
М.М. Харитонова	член	generic_membership	5	11	0.4545
М.Н. Яковлева	секретарь	office_position	5	9	0.5556
М.Ф. Шкирятову	сотрудник	generic_staff	5	8	0.625
Молотов	член	generic_membership	5	6	0.8333
Молотов	троцкист	political_label	5	6	0.8333
Н.В. Голубенко	заместитель	office_position	5	11	0.4545
Н.В. Голубенко	руководитель	office_position	5	11	0.4545
Н.И. Мухина	руководитель	office_position	5	8	0.625
П.А. Коваленко	член	generic_membership	5	5	1.0
П.А. Коваленко	троцкист	political_label	5	5	1.0
Пятаков	агент	accusatory_or_intelligence_label	5	22	0.2273
Пятаков	председатель	office_position	5	22	0.2273
Пятаков	обвиняемый	trial_role	5	22	0.2273
Радек	агент	accusatory_or_intelligence_label	5	25	0.2
Радек	начальник	office_position	5	25	0.2
Рыков	наркомвнудел	office_position	5	18	0.2778
Рыков	свидетель	trial_role	5	18	0.2778
С.А. Чихладзе	троцкист	political_label	5	6	0.8333
С.М. Гессена	член	generic_membership	5	8	0.625
С.М. Гессена	правый	political_label	5	8	0.625
Смирнов	член	generic_membership	5	10	0.5
Сокольников	руководитель	office_position	5	18	0.2778
Членов	наркомвнудел	office_position	5	14	0.3571
Шемелев	член	generic_membership	5	5	1.0
Шемелев	троцкист	political_label	5	5	1.0
Я.Р. Ельковича	член	generic_membership	5	6	0.8333
Я.С. Розанова	троцкист	political_label	5	5	1.0
А.А. Мусатова	член	generic_membership	4	4	1.0
А.А. Мусатова	троцкист	political_label	4	4	1.0
А.А. Шестова	заместитель	office_position	4	5	0.8
А.А. Шестова	секретарь	office_position	4	5	0.8
А.Г. Колодина	член	generic_membership	4	4	1.0
А.Г. Колодина	троцкист	political_label	4	4	1.0
А.И. Александрова	троцкист	political_label	4	4	1.0
А.И. Толмазова	член	generic_membership	4	8	0.5
А.М. Гертика	троцкист	political_label	4	11	0.3636
А.Н. Сафоновой	член	generic_membership	4	5	0.8
А.С. Енукидзе	председатель	office_position	4	8	0.5
А.С. Куклина	член	generic_membership	4	7	0.5714
А.С. Куклина	троцкист	political_label	4	7	0.5714
А.Ю. Айхенвальда	правый	political_label	4	5	0.8
А.Ю. Тивеля	член	generic_membership	4	5	0.8
А.Я. Вышинский	член	generic_membership	4	10	0.4
А.Я. Вышинский	руководитель	office_position	4	10	0.4
А.Я. Вышинский	обвиняемый	trial_role	4	10	0.4
Астров	сотрудник	generic_staff	4	8	0.5
Астров	руководитель	office_position	4	8	0.5
Астров	секретарь	office_position	4	8	0.5
Б.Л. Браво	троцкист	political_label	4	9	0.4444
Б.Н. Розенфельда	член	generic_membership	4	5	0.8
Б.Н. Розенфельда	троцкист	political_label	4	5	0.8
Б.Н. Сахова	правый	political_label	4	9	0.4444
Бухарин	корреспондент	office_position	4	73	0.0548
В.А. Балицкого	директор	office_position	4	13	0.3077
В.А. Балицкого	председатель	office_position	4	13	0.3077
В.А. Виноградова	член	generic_membership	4	6	0.6667
В.А. Яковлева	начальник	office_position	4	5	0.8
В.В. Глухенко	руководитель	office_position	4	6	0.6667
В.В. Глухенко	обвиняемый	trial_role	4	6	0.6667
В.В. Румянцева	секретарь	office_position	4	12	0.3333
В.В. Шмидта	представитель	generic_representative	4	4	1.0
В.В. Шмидта	комиссар	office_position	4	4	1.0
В.В. Шмидта	нарком	office_position	4	4	1.0
В.В. Шмидта	секретарь	office_position	4	4	1.0
В.В. Шмидта	правый	political_label	4	4	1.0
В.В. Шмидта	троцкист	political_label	4	4	1.0
В.Г. Дорошина	член	generic_membership	4	4	1.0
В.Г. Дорошина	троцкист	political_label	4	4	1.0
В.Д. Миронова	троцкист	political_label	4	4	1.0
В.С. Левина	член	generic_membership	4	9	0.4444
В.Ф. Логинова	нарком	office_position	4	7	0.5714
Г.А. Молчанова	комиссар	office_position	4	8	0.5
Г.Б. Синани-Скалов	заместитель	office_position	4	12	0.3333
Г.В. Соколова	член	generic_membership	4	5	0.8
Г.Г. Ягода	наркомвнудел	office_position	4	158	0.0253
Г.Е. Евдокимова	правый	political_label	4	14	0.2857
Г.Е. Евдокимовым	член	generic_membership	4	4	1.0
Г.Е. Прокофьева	кандидат	generic_membership	4	33	0.1212
Г.И. Сафарова	агент	accusatory_or_intelligence_label	4	32	0.125
Г.И. Сафарова	полпред	office_position	4	32	0.125
Г.И. Сафарова	руководитель	office_position	4	32	0.125
Г.Л. Хасина	член	generic_membership	4	4	1.0
Г.Л. Хасина	адвокат	office_position	4	4	1.0
Г.Л. Хасина	троцкист	political_label	4	4	1.0
Г.М. Аркуса	член	generic_membership	4	6	0.6667
Г.М. Аркуса	комиссар	office_position	4	6	0.6667
Г.Ф. Федорова	троцкист	political_label	4	8	0.5
Д.А. Шмидта	начальник	office_position	4	6	0.6667
Д.Л. Игнатюка	член	generic_membership	4	4	1.0
Д.Л. Игнатюка	троцкист	political_label	4	4	1.0
Д.Л. Игнатюка	обвиняемый	trial_role	4	4	1.0
Дмитриев	нарком	office_position	4	17	0.2353
Дмитриев	руководитель	office_position	4	17	0.2353
Е.А. Дрейцера	нарком	office_position	4	7	0.5714
Е.А. Дрейцера	начальник	office_position	4	7	0.5714
Е.А. Дрейцера	руководитель	office_position	4	7	0.5714
Е.Ф. Куликова	председатель	office_position	4	6	0.6667
Е.Ф. Куликова	троцкист	political_label	4	6	0.6667
Е.Ю. Раевской	член	generic_membership	4	4	1.0
Ежов	подсудимый	trial_role	4	466	0.0086
З.А. Ашрафяна	член	generic_membership	4	4	1.0
З.А. Ашрафяна	правый	political_label	4	4	1.0
З.А. Ашрафяна	троцкист	political_label	4	4	1.0
Зиновьев	сотрудник	generic_staff	4	50	0.08
Зиновьев	директор	office_position	4	50	0.08
Зиновьев	редактор	office_position	4	50	0.08
И.А. Князева	член	generic_membership	4	4	1.0
И.А. Князева	троцкист	political_label	4	4	1.0
И.И. Горовича	член	generic_membership	4	4	1.0
И.И. Горовича	троцкист	political_label	4	4	1.0
И.И. Котолынова	троцкист	political_label	4	13	0.3077
И.И. Рейнгольда	полпред	office_position	4	11	0.3636
И.И. Рейнгольда	председатель	office_position	4	11	0.3636
И.И. Трусова	член	generic_membership	4	4	1.0
И.И. Трусова	троцкист	political_label	4	4	1.0
И.П. Бакаева	председатель	office_position	4	13	0.3077
И.С. Горшенина	руководитель	office_position	4	12	0.3333
И.С. Горшениным	член	generic_membership	4	5	0.8
И.Ф. Касперского	член	generic_membership	4	4	1.0
Каменев	кандидат	generic_membership	4	26	0.1538
Киров	член	generic_membership	4	9	0.4444
Л.В. Николаева	правый	political_label	4	43	0.093
Л.В. Николаевым	обвиняемый	trial_role	4	4	1.0
Л.Д. Троцкий	секретарь	office_position	4	28	0.1429
Л.З. Мехлиса	вредитель	accusatory_label	4	6	0.6667
Л.З. Мехлиса	член	generic_membership	4	6	0.6667
Л.З. Мехлиса	председатель	office_position	4	6	0.6667
Л.З. Мехлиса	правый	political_label	4	6	0.6667
Л.З. Мехлиса	троцкист	political_label	4	6	0.6667
Л.И. Сосицкого	член	generic_membership	4	4	1.0
