document_type	documents	chars	primary_chunk_unit	secondary_chunk_unit	target_chunk_chars	soft_max_chars	hard_max_chars	preserve_boundaries	package_detection_required	attachment_first_strategy	manual_review_required	translation_ready	chunking_confidence	policy_version	notes
press_summary	4	159278	press_item_or_paragraph_block	paragraph	3200	4500	5000	press items and paragraphs	no	no	yes	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
administrative_report	16	97861	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
reference_note	6	91263	reference_section	paragraph	3000	4300	5000	reference_sections	no	no	yes	yes	medium	v1.1	D3.1B confirmed reference_note attachments
draft_project	4	69908	draft_project_section	paragraph	3000	4300	5000	draft_project_sections	no	no	sample_review	yes	medium	v1.1	D3.1B confirmed draft_project attachments inside special_report packages
explanation	4	43399	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	no	no	yes	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
speech	2	41779	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	no	no	yes	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
program	1	32779	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	no	no	yes	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks; avoid lexical false-positive QA detection
verdict_or_sentence	3	30263	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks
brochure	1	29330	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks; avoid lexical false-positive QA detection
telegram	15	27564	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
plan_instruction	3	26029	section_or_paragraph_block	paragraph	2800	4200	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
autobiography	1	18165	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
plea_pardon	2	17747	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
questionnaire_response	2	16713	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks
correspondence	2	15848	section_or_paragraph_block	paragraph	3000	4500	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
article	2	15684	article_section_or_paragraph_block	paragraph	3300	4500	5000	article sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
summary	7	14715	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
interrogation_extract	1	14237	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks
decree_resolution	3	9970	section_or_paragraph_block	paragraph	2800	4200	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
poem	1	8927	section_or_paragraph_block	paragraph	2800	3000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
medical_act	1	6240	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=question_answer_blocks
data_extract	2	3202	section_or_paragraph_block	paragraph	2800	3000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=whole_or_light_paragraph_chunks
search_protocol	1	2204	section_or_paragraph_block	paragraph	2800	4000	5000	document sections and paragraphs	no	no	sample_review	review_required	medium	v1.1	d2_dominant_unit=header_body_attachments
