document_post_id	document_type	primary_process	document_title	content_chars	paragraphs	lines	recommended_unit	confidence	question_answer_markers	speaker_turn_markers	date_headers	numbered_points	signature_markers	attachment_markers	salutation_markers	list_density
2443	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	20 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	162872	1	1	question_answer_blocks	high	47	0	22	0	3	0	0	0
2444	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	20 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	162817	1	1	question_answer_blocks	high	72	0	20	0	1	0	2	0
8173	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину о троцкистской группе И.Н. Смирнова с приложением списков троцкистов	158588	1	1	question_answer_blocks	high	5	0	5	0	1	7	0	1
1790	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	19 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	157805	1	1	question_answer_blocks	high	50	0	39	0	8	0	2	0
8690	statement	ПРОЦЕСС 2-12 МАРТА 1938 г.	Заявление Н.И. Бухарина членам Пленума ЦК ВКП(б)	152954	1	1	question_answer_blocks	high	65	0	9	0	1	2	0	1
5660	memo_note	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Записка Г.Г. Ягоды И.В. Сталину с приложением справок на участников троцкистской организации и проекта постановления о предании их суду ВКВС СССР по закону от 1 декабря 1934 г.	152053	1	1	question_answer_blocks	high	46	0	18	0	0	85	0	1
1847	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	19 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	149944	1	1	question_answer_blocks	high	79	0	27	0	1	0	2	0
8938	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	149749	1	1	question_answer_blocks	high	37	0	25	0	0	0	8	1
8954	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	145376	1	1	question_answer_blocks	high	33	0	7	0	1	1	4	1
2478	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	21 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	145161	1	1	question_answer_blocks	high	46	0	31	0	1	0	0	0
4810	session_transcript	КРЕМЛЕВСКОЕ ДЕЛО	Опубликованный вариант стенографического отчета вечернего заседания июньского пленума ЦК ВКП(б) 1935 г.	138986	1	1	question_answer_blocks	high	52	0	3	0	5	1	15	1
2521	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	24 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	131485	1	1	question_answer_blocks	high	80	0	4	0	1	0	1	0
2527	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	26 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	129628	1	1	question_answer_blocks	high	58	0	2	0	6	0	5	0
2480	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	22 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	124294	1	1	question_answer_blocks	high	18	0	21	0	1	0	1	0
11413	session_transcript	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Стенограмма заседания Президиума ЦКК ВКП(б)	123250	1	1	question_answer_blocks	high	56	0	2	0	1	0	7	1
2536	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	27 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	123005	1	1	question_answer_blocks	high	38	0	15	0	3	2	2	0
2523	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	25 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	122898	1	1	question_answer_blocks	high	62	0	2	0	3	0	0	0
2525	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	25 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	120569	1	1	question_answer_blocks	high	39	0	7	0	1	0	0	0
2519	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	23 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	115959	1	1	question_answer_blocks	high	55	0	2	0	5	0	0	0
8951	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Утреннее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	115412	1	1	question_answer_blocks	high	41	0	4	0	2	0	0	1
2522	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	24 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	114606	1	1	question_answer_blocks	high	43	0	5	0	1	0	3	0
8946	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Вечернее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	113463	1	1	question_answer_blocks	high	32	0	2	0	0	0	2	1
2526	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	26 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	109501	1	1	question_answer_blocks	high	29	0	12	0	5	1	5	0
8849	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	105764	1	1	question_answer_blocks	high	34	0	2	0	0	2	0	1
2537	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	27 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	95093	1	1	question_answer_blocks	high	48	0	20	0	1	0	7	0
2481	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	22 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	91854	1	1	question_answer_blocks	high	13	0	8	0	6	0	2	0
2482	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	23 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	91059	1	1	question_answer_blocks	high	7	0	9	0	1	0	2	0
2540	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	29 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	88376	1	1	question_answer_blocks	high	26	0	4	0	1	0	4	0
10470	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Я.С. Агранова И.В. Сталину с приложением меморандума по делу арестованных троцкистов	81158	1	1	whole_or_light_paragraph_chunks	low	1	0	3	0	0	1	0	1
7988	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову	80657	1	1	question_answer_blocks	high	13	0	4	0	0	1	0	1
2508	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	23 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	70994	1	1	question_answer_blocks	high	32	0	2	0	3	0	1	0
2479	session_transcript	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	21 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	67664	1	1	question_answer_blocks	high	22	0	14	0	1	0	0	0
4203	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	67013	1	1	question_answer_blocks	high	27	0	9	0	5	2	0	1
7162	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Н. Астрова	65680	1	1	question_answer_blocks	high	96	0	10	0	1	1	0	1
5863	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	64769	1	1	question_answer_blocks	high	256	0	6	0	2	0	1	1
8048	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе	63717	1	1	question_answer_blocks	high	34	0	7	0	2	1	0	1
8617	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Стенограмма очной ставки между В.Н. Астровым и Н.И. Бухариным в ЦК ВКП(б)	61075	1	1	question_answer_blocks	high	20	0	4	0	0	0	0	1
7101	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Я.А. Лившица	59994	1	1	question_answer_blocks	high	101	0	3	0	1	3	1	1
5779	letter	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Письмо А.Л. Леонтьева секретарю ЦК ВКП(б) и Председателю КПК при ЦК ВКП(б) Н.И. Ежову с приложением справки СПО ГУГБ НКВД СССР	58553	1	1	question_answer_blocks	high	16	0	4	0	0	2	6	1
7561	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.П. Нестерова	58282	1	1	question_answer_blocks	high	79	0	2	0	0	1	0	1
6309	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.Л. Пятакова	57252	1	1	question_answer_blocks	high	97	0	5	0	0	1	0	1
7840	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Г. Белобородова	56651	1	1	question_answer_blocks	high	73	0	4	0	1	1	3	1
4583	list	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Список лиц, арестованных по делу “террористической зиновьевской организации”	54365	1	1	question_answer_blocks	high	9	0	24	0	4	2	0	1
8725	testimony	ПРОЦЕСС 2-12 МАРТА 1938 г.	Показания Н.И. Бухарина	54103	1	1	question_answer_blocks	high	13	0	2	0	0	0	0	1
6762	indictment	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Проект обвинительного заключения по делу “троцкистско-зиновьевского террористического центра”	54006	1	1	question_answer_blocks	high	6	0	9	0	0	0	1	1
4423	confrontation_protocol	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол очной ставки между Г.Е. Зиновьевым и Г.И. Сафаровым	53908	1	1	question_answer_blocks	high	54	0	1	0	0	0	0	1
7792	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.Н. Радина	53671	1	1	question_answer_blocks	high	135	0	2	0	0	1	0	1
5723	letter	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Закрытое письмо ЦК ВКП(б) от 29 июля 1936 г.	51694	1	1	question_answer_blocks	high	8	0	40	0	0	1	1	1
5917	statement	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Заявление Ю.Л. Пятакова Народному комиссару внутренних дел СССР Н.И. Ежову	50157	1	1	question_answer_blocks	high	18	0	2	0	0	0	0	1
6550	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.А. Жарикова	50121	1	1	question_answer_blocks	high	79	0	6	0	0	1	0	1
7517	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова	49920	1	1	question_answer_blocks	high	147	0	5	0	0	1	0	1
4849	reference_note	КРЕМЛЕВСКОЕ ДЕЛО	Справка по “Кремлевскому делу” для подготовки доклада Н.И. Ежова на июньском пленуме ЦК 1935 г. с выдержками из показаний обвиняемых	49353	1	1	question_answer_blocks	high	47	0	4	0	0	1	0	1
2485	press_summary	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ПРАВДА”	48440	1	1	question_answer_blocks	high	2	0	6	0	1	0	2	1
8430	conversation_recording	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	48430	1	1	question_answer_blocks	high	5	0	6	0	1	0	2	1
7214	special_report	РАЗНЫЕ ДОКУМЕНТЫ	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением документов, найденных при обыске у Н.В. Комогорова	48063	1	1	question_answer_blocks	high	2	0	1	0	0	2	0	1
6265	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Сосновского	47930	1	1	question_answer_blocks	high	106	0	4	0	0	1	1	1
5904	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Б. Радека о своей невиновности	47264	1	1	question_answer_blocks	high	4	0	1	0	1	2	0	1
5800	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.А. Шестова	46881	1	1	question_answer_blocks	high	249	0	4	0	0	1	1	1
10713	letter	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Der Fall Valentin Olberg – неопубликованное открытое письмо К. Ландау П.К. Ольбергу о деле его сына	46577	1	1	question_answer_blocks	high	9	0	3	0	0	0	2	0
7462	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	46557	1	1	question_answer_blocks	high	92	0	6	0	0	1	0	1
7787	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	46127	1	1	question_answer_blocks	high	112	0	3	0	0	1	0	1
5879	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	45255	1	1	question_answer_blocks	high	216	0	2	0	0	0	0	1
6316	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса И.Д. Турока	45127	1	1	question_answer_blocks	high	106	0	10	0	0	1	1	1
9431	session_transcript	КРЕМЛЕВСКОЕ ДЕЛО	Стенограмма заседания парткома ИККИ по вопросу о Г.Б. Синани-Скалове	44377	1	1	question_answer_blocks	high	16	0	0	0	1	0	1	1
5925	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	44301	1	1	question_answer_blocks	high	116	0	5	0	0	1	0	1
7878	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Ф. Головина	44167	1	1	question_answer_blocks	high	85	0	3	0	0	1	0	1
9408	session_transcript	КРЕМЛЕВСКОЕ ДЕЛО	Протокол заседания комиссии по чистке парторганизации Коминтерна – Г.Б. Синани-Скалов	43948	1	1	question_answer_blocks	high	12	0	2	0	0	0	3	1
8609	confrontation_protocol	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол очной ставки между Н.И. Бухариным и Е.Ф. Куликовым в ЦК ВКП(б)	42832	1	1	question_answer_blocks	high	9	0	2	0	0	0	0	1
8702	interrogation_protocol	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол допроса Н.И. Бухарина	42797	1	1	question_answer_blocks	high	141	0	2	0	2	0	0	1
7071	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Е. Барского	42655	1	1	question_answer_blocks	high	138	0	2	0	0	2	0	1
7724	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко	42554	1	1	question_answer_blocks	high	101	0	3	0	1	1	0	1
5265	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	42177	1	1	question_answer_blocks	high	13	0	15	0	0	2	1	1
6527	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	42087	1	1	question_answer_blocks	high	88	0	5	0	1	1	0	1
7625	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Г. Грольмана	41518	1	1	question_answer_blocks	high	70	0	3	0	0	1	0	1
7644	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Г. Козелева	41319	1	1	question_answer_blocks	high	91	0	3	0	0	1	0	1
7665	statement	ПРОЦЕСС 2-12 МАРТА 1938 г.	Заявление В.В. Шмидта И.В. Сталину и Н.И. Ежову	41282	1	1	question_answer_blocks	high	14	0	1	0	0	0	0	1
7627	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса П.К. Александрова	40368	1	1	question_answer_blocks	high	75	0	3	0	0	1	0	1
6175	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова и А.Я. Вышинского И.В. Сталину с приложением проекта обвинительного заключения по делу о взрыве на шахте “Центральная” Кемеровского рудоуправления	40104	1	1	question_answer_blocks	high	5	0	9	0	1	2	0	1
7555	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.А. Яковлева	40004	1	1	question_answer_blocks	high	85	0	4	0	0	1	0	1
7548	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Я. Любарского и выписки из протокола заседания бюро ГК ВКП(б) г. Шахты	39952	1	1	question_answer_blocks	high	108	0	7	0	2	1	0	1
4665	list	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Список арестованных по состоянию на 20 января 1935 г.	39800	1	1	question_answer_blocks	high	2	0	23	0	6	2	0	1
5884	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.Г. Ольховского	39734	1	1	question_answer_blocks	high	114	0	3	0	0	1	0	1
5664	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Е.А. Дрейцера	39699	1	1	question_answer_blocks	high	155	0	6	0	1	1	1	1
7410	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса Д.Т. Шермергорна	39598	1	1	question_answer_blocks	high	91	0	6	0	0	2	0	1
5916	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.Е. Эйдмана	39553	1	1	question_answer_blocks	high	106	0	2	0	1	2	0	1
5732	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса С.М. Закса-Гладнева	39536	1	1	question_answer_blocks	high	120	0	14	0	0	1	0	1
5684	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.И. Рейнгольда	39534	1	1	question_answer_blocks	high	104	0	14	0	0	1	0	1
7756	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.В. Бурштейна	39371	1	1	question_answer_blocks	high	107	0	4	0	1	2	0	1
5850	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса Я.И. Зайдмана	39321	1	1	question_answer_blocks	high	199	0	4	0	0	0	0	1
5859	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса В.А. Финашина	39247	1	1	question_answer_blocks	high	250	0	2	0	0	0	1	1
5873	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.А. Шестова	39110	1	1	question_answer_blocks	high	214	0	3	0	1	2	0	1
5707	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Г. Пригожина	38760	1	1	question_answer_blocks	high	96	0	12	0	0	1	2	1
8621	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Стенограмма очной ставки между К.Б. Радеком и Н.И. Бухариным в ЦК ВКП(б)	38757	1	1	question_answer_blocks	high	6	0	5	0	0	0	0	1
2486	press_summary	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ИЗВЕСТИЯ”	38490	1	1	question_answer_blocks	high	2	0	6	0	1	0	1	1
4847	list	КРЕМЛЕВСКОЕ ДЕЛО	Список арестованных по делу контрреволюционных террористических групп в Кремле и вне Кремля	38406	1	1	question_answer_blocks	high	8	0	0	0	0	2	0	1
2487	press_summary	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES	38218	1	1	whole_or_light_paragraph_chunks	low	0	0	1	0	0	0	0	1
5874	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между С.А. Ратайчаком и В.Ф. Логиновым и последующего допроса С.А. Ратайчака	37971	1	1	question_answer_blocks	high	274	0	3	0	0	2	0	1
4841	explanation	КРЕМЛЕВСКОЕ ДЕЛО	Объяснения П.Ф. Зайцева Н.И. Ежову по вопросу о чуждых элементах в аппарате ЦИК СССР с приложениями	37407	1	1	question_answer_blocks	high	28	0	3	0	8	4	1	1
5654	special_report	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Е.А. Дрейцера	37406	1	1	question_answer_blocks	high	185	0	12	0	0	1	0	1
4288	speech	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Выписка из стенографического отчета закрытого партсобрания редколлектива газеты “Известия” (выступления К.Б. Радека)	37283	1	1	question_answer_blocks	high	12	0	2	0	0	1	6	1
7915	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса А.И. Емшанова	37103	1	1	question_answer_blocks	high	102	0	8	0	0	1	1	1
7159	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Тер-Минасова	37011	1	1	question_answer_blocks	high	156	0	3	0	0	1	0	1
5910	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.С. Строилова	36857	1	1	question_answer_blocks	high	66	0	2	0	0	1	0	1
4831	memo_note	КРЕМЛЕВСКОЕ ДЕЛО	Записка Е.Д. Соколовой М.Ф. Шкирятову в КПК при ЦК ВКП(б) о положении в правительственной библиотеке с приложениями	36829	1	1	question_answer_blocks	high	14	0	2	0	0	0	2	1
5878	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса А.А. Шестова	36671	1	1	question_answer_blocks	high	146	0	4	0	0	0	0	1
7952	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.В. Носова	36612	1	1	question_answer_blocks	high	85	0	3	0	0	1	0	1
7296	special_report	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса О.Ф. Янкуса	35928	1	1	question_answer_blocks	high	91	0	4	0	0	1	0	1
5766	letter	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Закрытое письмо МК и МГК ВКП(б) о вскрытых фактах террористической деятельности контрреволюционного троцкистско-зиновьевского блока в. г. Москве и Московской области	35804	1	1	question_answer_blocks	high	11	0	3	0	0	0	2	1
6390	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.А. Житкова	35717	1	1	question_answer_blocks	high	157	0	2	0	1	0	0	1
5816	interrogation_protocol	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса А.А. Шестова	35611	1	1	question_answer_blocks	high	229	0	5	0	4	0	0	1
