document_post_id	document_title	old_attachment_type	new_attachment_type	refinement_reason
5718	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола очной ставки между Г.Е. Зиновьевым и Н.А. Каревым	memo	confrontation_protocol|memo_note	explicit очная ставка marker; explicit записка marker
5727	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления В.А. Тер-Ваганяна	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
5730	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса К.Б. Бермана-Юрина	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5731	Спецсообщение Г.Г. Ягоды В.М. Молотову с приложением протокола очной ставки между И.Н. Смирновым и С.В. Мрачковским	unknown_attachment	confrontation_protocol	explicit очная ставка marker
5735	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола очной ставки между Г.М. Аркусом и И.И. Рейнгольдом	interrogation_protocol|reference_note	interrogation_protocol|confrontation_protocol|reference_note	explicit очная ставка marker; explicit допрос marker
5768	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления Г.Е. Зиновьева Г.С. Люшкову	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
5777	Спецсообщение Г.А. Молчанова Н.И. Ежову с приложением заявления А.О. Альского от 15 апреля 1936 г.	interrogation_protocol	interrogation_protocol|statement	explicit допрос marker; explicit заявление marker
5791	Спецсообщение Н.И. Ежова И.В. Сталину с приложением письма Л.А. Шацкина А.Я. Вышинскому, И.В. Сталину и Н.И. Ежову от 22 октября 1936 г.	reference_note	letter|reference_note	explicit письмо marker; explicit справка marker
5792	Спецсообщение Н.И. Ежова И.В. Сталину с приложением письма Т.И. Глебовой от 31 октября 1936 г.	unknown_attachment	letter	explicit письмо marker
5817	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления П.Ф. Сапожникова И.В. Сталину и справки СПО ГУГБ НКВД по делу П.Ф. Сапожникова	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
5823	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса К.С. Дорофеева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5835	Спецсообщение Г.Г. Ягоды Н.И. Ежову об аресте и обыске у К.Б. Радека с приложением частично зашифрованного письма	unknown_attachment	letter	explicit письмо marker
5870	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.И. Потяева	interrogation_protocol|memo|diary|theses	interrogation_protocol|memo_note|diary|theses	explicit допрос marker; explicit записка marker; explicit дневник marker; explicit тезисы marker
5874	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между С.А. Ратайчаком и В.Ф. Логиновым и последующего допроса С.А. Ратайчака	memo|list	interrogation_protocol|confrontation_protocol|memo_note|list	explicit очная ставка marker; explicit допрос marker; explicit записка marker; explicit list/opis marker
5876	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.И. Юлина	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5904	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Б. Радека о своей невиновности	memo|list	statement|memo_note|list	explicit заявление marker; explicit записка marker; explicit list/opis marker
5908	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Н. Лукницкого	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5926	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Д.П. Бухарцева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6150	Спецсообщение Н.И. Ежова И.В. Сталину с приложением письма В.М. Примакова	unknown_attachment	letter	explicit письмо marker
6175	Спецсообщение Н.И. Ежова и А.Я. Вышинского И.В. Сталину с приложением проекта обвинительного заключения по делу о взрыве на шахте “Центральная” Кемеровского рудоуправления	memo|list	memo_note|list	explicit записка marker; explicit list/opis marker
6188	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.М. Коцюбинского	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6216	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления В.И. Невского Н.И. Ежову о признании своей вины	unknown_attachment	statement	explicit заявление marker
6265	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Сосновского	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6303	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Ромма	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6333	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Д. Гогоберидзе	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6345	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между К.Б. Радеком и Ю.Л. Пятаковым	unknown_attachment	confrontation_protocol	explicit очная ставка marker
6350	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Ю.Л. Пятаковым и С.А. Ратайчаком	unknown_attachment	confrontation_protocol	explicit очная ставка marker
6354	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Ю.Л. Пятаковым и Л.П. Серебряковым	unknown_attachment	confrontation_protocol	explicit очная ставка marker
6357	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Ю.Л. Пятаковым и Г.Я. Сокольниковым	unknown_attachment	confrontation_protocol	explicit очная ставка marker
6360	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Л.П. Серебряковым и Я.А. Лившицем	unknown_attachment	confrontation_protocol	explicit очная ставка marker
6476	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления В.Д. Каспаровой	unknown_attachment	statement	explicit заявление marker
6609	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Е.А. Афанасьева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
6776	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением заявления Г.Е. Зиновьева	unknown_attachment	statement	explicit заявление marker
6842	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением писем Г.Е. Зиновьева и С.Г. Радомысльского	unknown_attachment	letter	explicit письмо marker
7153	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.А. Асилова	interrogation_protocol|memo|theses	interrogation_protocol|memo_note|theses	explicit допрос marker; explicit записка marker; explicit тезисы marker
7162	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Н. Астрова	interrogation_protocol|memo|list|theses	interrogation_protocol|memo|memo_note|list|theses	explicit допрос marker; explicit записка marker; explicit меморандум marker; explicit list/opis marker; explicit тезисы marker
7174	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.И. Кавтарадзе	interrogation_protocol|memo|theses	interrogation_protocol|memo_note|theses	explicit допрос marker; explicit записка marker; explicit тезисы marker
7186	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Р.И. Тодорской	unknown_attachment	statement	explicit заявление marker
7190	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Г.Я. Сокольниковым и К.Б. Радеком	unknown_attachment	confrontation_protocol	explicit очная ставка marker
7192	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Л.П. Серебряковым и К.Б. Радеком	list	confrontation_protocol|list	explicit очная ставка marker; explicit list/opis marker
7194	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Е. Тамма	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7222	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Ю.Л. Пятаковым и Я.Н. Дробнисом	unknown_attachment	confrontation_protocol	explicit очная ставка marker
7227	Спецсообщение Н.И. Ежова И.В. Сталину с приложением докладной записки М.В. Кузнецова о Л.Л. Авербахе	memo|reference_note	memo_note|reference_note	explicit записка marker; explicit справка marker
7365	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса Л.М. Островской (Сидерман)	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7410	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса Д.Т. Шермергорна	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7417	Спецсообщение Н.И. Ежова И.В. Сталину с приложением анонимного письма о положении в Винницкой области Украины	unknown_attachment	letter	explicit письмо marker
7444	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.П. Шевелева-Лубкова	interrogation_protocol|memo|reference_note	interrogation_protocol|memo_note|reference_note	explicit допрос marker; explicit записка marker; explicit справка marker
7462	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7517	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова	interrogation_protocol|memo|list	interrogation_protocol|memo_note|list	explicit допрос marker; explicit записка marker; explicit list/opis marker
7630	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Н. Слепкова	interrogation_protocol|memo|theses	interrogation_protocol|memo_note|theses	explicit допрос marker; explicit записка marker; explicit тезисы marker
7673	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.В. Шмидта	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7687	Спецсообщение Н.И. Ежова И.В. Сталину с приложением стенограммы очной ставки между А.И. Рыковым и С.Н. Радиным	unknown_attachment	confrontation_protocol	explicit очная ставка marker
7693	Спецсообщение Н.И. Ежова И.В. Сталину с приложением стенограммы очной ставки между А.И. Рыковым и Б.П. Нестеровым	unknown_attachment	confrontation_protocol	explicit очная ставка marker
7756	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.В. Бурштейна	interrogation_protocol|memo|reference_note	interrogation_protocol|memo_note|reference_note	explicit допрос marker; explicit записка marker; explicit справка marker
7784	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Г.Я. Сокольникова Н.И. Ежову	unknown_attachment	statement	explicit заявление marker
7826	Спецсообщение Н.И. Ежова И.В. Сталину с приложение протокола очной ставки между С.Х. Варданианом и Л.С. Тер-Минасовым		confrontation_protocol	explicit очная ставка marker
7885	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления и протокола допроса И.Н. Маевского	interrogation_protocol	interrogation_protocol|statement	explicit допрос marker; explicit заявление marker
7950	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Арефьева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7972	Спецсообщение Н.И. Ежова И.В. Сталину с приложением докладной записки С.А. Гоглидзе о троцкистском центре в Грузинской ССР	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
7988	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Д.П. Марецкого Н.И. Ежову	memo|theses	statement|memo|memo_note|theses	explicit заявление marker; explicit записка marker; explicit меморандум marker; explicit тезисы marker
8045	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Н. Лукницкого Н.И. Ежову	unknown_attachment	statement	explicit заявление marker
8173	Спецсообщение Г.Г. Ягоды И.В. Сталину о троцкистской группе И.Н. Смирнова с приложением списков троцкистов	memo|list	memo_note|list	explicit записка marker; explicit list/opis marker
8545	Спецсообщение Я.С. Агранова И.В. Сталину с приложением заявлений Е.В. Цетлина	unknown_attachment	statement	explicit заявление marker
8574	Спецсообщение Я.С. Агранова И.В. Сталину с приложением заявления Е.В. Цетлина	memo|theses	statement|memo_note|theses	explicit заявление marker; explicit записка marker; explicit тезисы marker
8576	Спецсообщение Я.С. Агранова И.В. Сталину с приложением заявления Е.В. Цетлина	memo|list	statement|memo|list	explicit заявление marker; explicit меморандум marker; explicit list/opis marker
8592	Спецсообщение Я.С. Агранова И.В. Сталину с приложением заявления А.Н. Слепкова и справки по его делу	memo|reference_note	statement|memo_note|reference_note	explicit заявление marker; explicit записка marker; explicit справка marker
8597	Спецсообщение Я.С. Агранова И.В. Сталину с приложением заявления П.Г. Петровского	unknown_attachment	statement	explicit заявление marker
8704	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола очной ставки между Н.И. Бухариным и С.Б. Членовым	interrogation_protocol	interrogation_protocol|confrontation_protocol	explicit очная ставка marker; explicit допрос marker
8707	Спецсообщение Я.С. Агранова И.В. Сталину с приложением письма Н.И. Бухарина И.В. Сталину	interrogation_protocol	interrogation_protocol|letter	explicit допрос marker; explicit письмо marker
8709	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания	unknown_attachment	statement	explicit заявление marker
8777	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления А.В. Травиной в партком Комитета по высшей школе Совнаркома СССР	unknown_attachment	statement	explicit заявление marker
8849	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	memo|theses	memo_note|theses	explicit записка marker; explicit тезисы marker
9746	Спецсообщение Г.А. Молчанова Н.И. Ежову с приложением заявления А.Н. Слепкова и справки по его делу	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
9753	Спецсообщение Г.А. Молчанова Н.И. Ежову с приложением заявления А.П. Костиной и справкой по ее делу	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
9756	Спецсообщение Г.А. Молчанова Н.И. Ежову с приложением заявления П.И. Шабалкина и справкой по его делу	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
10123	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением описи архива троцкистов, изъятого при обыске квартиры С.В. Мрачковского	memo|list|theses	memo_note|list|theses	explicit записка marker; explicit list/opis marker; explicit тезисы marker
10133	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления О. Равич о Г.Е. Зиновьеве	theses	statement|theses	explicit заявление marker; explicit тезисы marker
