document_post_id	document_title	primary_process	content_chars	package_likelihood	detected_attachment_count	detected_attachment_types	detected_markers	first_marker_position	cover_note_likely	embedded_interrogation_protocol	embedded_list	embedded_memo	embedded_diary	embedded_theses	embedded_reference_note	embedded_draft_project	recommended_package_strategy	notes
5186	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.А. Гардина-Гейера	КРЕМЛЕВСКОЕ ДЕЛО	10989	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5191	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Б.Н. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	3256	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5206	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Р.С. Беннет	КРЕМЛЕВСКОЕ ДЕЛО	28573	strong	3	generic_attachment|interrogation_protocol|theses	направляю|приложение|протокол допроса|с приложением|тезисы	39	yes	yes	no	no	no	yes	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5208	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	2900	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5216	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.А. Воронова	КРЕМЛЕВСКОЕ ДЕЛО	6944	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5224	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса В.Г. Белова	КРЕМЛЕВСКОЕ ДЕЛО	3955	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5232	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Ю.Д. Урусова	КРЕМЛЕВСКОЕ ДЕЛО	8114	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5236	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Р.С. Беннет	КРЕМЛЕВСКОЕ ДЕЛО	12077	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5237	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса В.М. Рохинсона	КРЕМЛЕВСКОЕ ДЕЛО	8605	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5239	Спецсообщение Г.Г. Ягоды И.В. Сталину об окончании следствия по “Кремлевскому делу”	КРЕМЛЕВСКОЕ ДЕЛО	1772	none	0				no	no	no	no	no	no	no	no	simple_special_report	align with blueprint header_body_attachment_block
5240	Спецсообщение Г.Г. Ягоды И.В. Сталину о мерах наказания участникам террористических групп с пометками И.В. Сталина	КРЕМЛЕВСКОЕ ДЕЛО	17729	none	0				no	no	no	no	no	no	no	no	simple_special_report	align with blueprint header_body_attachment_block
5259	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением копии заявления ссыльного троцкиста К.И. Грюнштейна	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	7324	strong	1	generic_attachment	направляю|приложение|с приложением	38	yes	no	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	42177	strong	4	generic_attachment|interrogation_protocol|memo|reference_note	записка|направляю|прилагаю|приложение|протокол допроса|с приложением|справка	38	yes	yes	no	yes	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5360	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением описи изъятого архива Троцкого	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6165	strong	3	generic_attachment|interrogation_protocol|reference_note	приложение|протокол допроса|с приложением|справка	43	yes	yes	no	no	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5363	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.И. Горовича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	17101	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	38	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5366	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	25478	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	38	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5373	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса П.А. Коваленко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	10135	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5376	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса В.П. Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	11955	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	43	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5377	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	19905	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5381	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Е.И. Майзлиной	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6589	strong	2	generic_attachment|interrogation_protocol	прилагаю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5387	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса А.Н. Сафоновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	24214	strong	3	generic_attachment|interrogation_protocol|list	направляю|приложение|протокол допроса|с приложением|список	43	yes	yes	yes	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5393	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	15797	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	43	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5398	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса К.И. Гидлевского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	10681	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5400	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Л.Г. Дмитриевой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	7695	strong	3	generic_attachment|interrogation_protocol|list	направляю|приложение|протокол допроса|с приложением|список	41	yes	yes	yes	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5404	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса М.П. Жакова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	12482	strong	3	generic_attachment|interrogation_protocol|memo	записка|приложение|протокол допроса|с приложением	43	yes	yes	no	yes	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5406	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Б.О. Ольберг	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	12380	strong	2	generic_attachment|interrogation_protocol	приложение|протокол допроса|с приложением	38	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5408	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Л.И. Пономарева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	13989	strong	3	generic_attachment|interrogation_protocol|reference_note	направляю|приложение|протокол допроса|с приложением|справка	36	yes	yes	no	no	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5426	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Г.Ф. Дмитриева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	13933	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5432	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.И. Шемелева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	16831	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	38	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5443	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса В.М. Попова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	13604	strong	3	generic_attachment|interrogation_protocol|list	направляю|приложение|протокол допроса|с приложением|список	41	yes	yes	yes	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5446	Спецсообщение Г.Г. Ягоды И.В. Сталину с предложением о репрессировании троцкистов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3005	strong	2	memo|reference_note	записка|справка	112	no	no	no	yes	no	no	yes	no	package_split_before_chunking	align with blueprint header_body_attachment_block
5454	Спецсообщение Г.Е. Прокофьева Н.И. Ежову с приложением протокола допроса Ф.А. Горбуновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	7757	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
